  SPIN   MODE 0   MODE 1   MODE 2   MODE 3
    0       31       31       31        0
    1       30       29       28        2
    2       29       27       25        4
    3       28       25       22        6
    4       27       23       19        8
    5       26       21       16       10
    6       25       19       13       12
    7       24       17       10       14
    8       23       15        7       16
    9       22       13        4       18
   10       21       11       31       20
   11       20        9       28       22
   12       19        7       25       24
   13       18        5       22       28
   14       17        3       19       30
   15       16       31       16       29
   16       15       29       13       27
   17       14       27       10       25
   18       13       25        7       23
   19       12       23        4       21
   20       11       21       31       19
   21       10       19       28       17
   22        9       17       25       15
   23        8       15       22       13
   24        7       13       19       11
   25        6       11       16        9
   26        5        9       13        7
   27        4        7       10        5
   28        3        5        7        3
   29        2        3        4        1
   30       31       31       31        0
   31       30       29       28        2
   32       29       27       25        4
   33       28       25       22        6
   34       27       23       19        8
   35       26       21       16       10
   36       25       19       13       12
   37       24       17       10       14
   38       23       15        7       16
   39       22       13        4       18
   40       21       11       31       20
   41       20        9       28       22
   42       19        7       25       24
   43       18        5       22       28
   44       17        3       19       30
   45       16       31       16       29
   46       15       29       13       27
   47       14       27       10       25
   48       13       25        7       23
   49       12       23        4       21
   50       11       21       31       19
   51       10       19       28       17
   52        9       17       25       15
   53        8       15       22       13
   54        7       13       19       11
   55        6       11       16        9
   56        5        9       13        7
   57        4        7       10        5
   58        3        5        7        3
   59        2        3        4        1
