   DVS    H+    He+2    He+1   C+6   C+5   C+4   O+7   O+6   O+   Ne+8   Mg+10   Mg+8   Si+12   Si+9   Si+8   Fe+16   Fe+14   Fe+12   Fe+11   Fe+10   Fe+9   Fe+8
     0    0.00000    0.00000    0.00000    0.00032    0.00004    0.00000    0.00013    0.00000    0.00000    0.00001    0.00184    0.00035    0.00540    0.00060    0.00000    0.00870    0.00473    0.00197    0.00097    0.00047    0.00021    0.00004
     1    0.00000    0.00000    0.00000    0.00158    0.00020    0.00000    0.00039    0.00007    0.00000    0.00021    0.00396    0.00080    0.01037    0.00154    0.00058    0.01525    0.00807    0.00384    0.00236    0.00118    0.00050    0.00021
     2    0.00000    0.00000    0.00000    0.00377    0.00063    0.00005    0.00175    0.00029    0.00000    0.00054    0.00705    0.00196    0.01766    0.00351    0.00152    0.02443    0.01407    0.00683    0.00449    0.00265    0.00129    0.00050
     3    0.00000    0.00000    0.00000    0.01074    0.00241    0.00021    0.00453    0.00103    0.00000    0.00265    0.01303    0.00414    0.02834    0.00773    0.00344    0.03905    0.02281    0.01173    0.00774    0.00499    0.00281    0.00127
     4    0.00000    0.00000    0.00000    0.02264    0.00552    0.00073    0.01240    0.00350    0.00000    0.00634    0.02140    0.00741    0.04496    0.01363    0.00764    0.06216    0.03590    0.01959    0.01345    0.00843    0.00525    0.00278
     5    0.00000    0.00000    0.00000    0.03910    0.01529    0.00256    0.02750    0.00843    0.00000    0.01806    0.04171    0.01353    0.07237    0.02271    0.01351    0.09336    0.05813    0.03037    0.02195    0.01475    0.00880    0.00519
     6    0.00000    0.00002    0.00000    0.06127    0.02901    0.00610    0.04845    0.02189    0.00000    0.03807    0.06978    0.02262    0.10938    0.03525    0.02251    0.13083    0.08790    0.05006    0.03423    0.02374    0.01544    0.00872
     7    0.00000    0.00020    0.00000    0.08615    0.04777    0.01611    0.07705    0.04076    0.00000    0.06574    0.10723    0.04340    0.15740    0.05794    0.03498    0.18006    0.12437    0.07696    0.05598    0.03772    0.02469    0.01530
     8    0.00000    0.00047    0.00000    0.11754    0.07095    0.03015    0.10931    0.06651    0.00000    0.10297    0.15389    0.07211    0.21318    0.09005    0.05743    0.23753    0.17152    0.11137    0.08498    0.06046    0.03956    0.02449
     9    0.00000    0.00203    0.00000    0.15197    0.09897    0.04932    0.15079    0.09770    0.00000    0.14479    0.20889    0.11031    0.28227    0.13222    0.08936    0.31096    0.22778    0.15433    0.12091    0.09105    0.06281    0.03917
    10    0.00000    0.00521    0.00000    0.19327    0.13106    0.07267    0.19498    0.13605    0.00000    0.19754    0.27325    0.15728    0.35769    0.18553    0.13133    0.40054    0.29831    0.20807    0.16695    0.12810    0.09425    0.06232
    11    0.00002    0.01371    0.00000    0.23970    0.16939    0.10125    0.24947    0.17900    0.00000    0.25540    0.34840    0.21334    0.45055    0.24629    0.18454    0.50802    0.38553    0.27276    0.22255    0.17645    0.13187    0.09357
    12    0.00014    0.02516    0.00002    0.28755    0.21182    0.13345    0.30995    0.23133    0.00000    0.32479    0.43295    0.27794    0.54972    0.31966    0.24501    0.62882    0.49166    0.35515    0.29154    0.23342    0.18144    0.13108
    13    0.00061    0.03792    0.00020    0.34100    0.25881    0.17246    0.37296    0.28820    0.00000    0.40280    0.52711    0.35441    0.65957    0.40270    0.31829    0.77175    0.60827    0.45455    0.37749    0.30562    0.23910    0.18038
    14    0.00219    0.05314    0.00047    0.39873    0.30937    0.21509    0.44390    0.35091    0.00000    0.48320    0.62856    0.43933    0.78288    0.49861    0.40097    0.93431    0.74953    0.56643    0.48287    0.39421    0.31300    0.23790
    15    0.00586    0.07153    0.00204    0.46326    0.36461    0.26214    0.51933    0.41914    0.00000    0.57300    0.74041    0.53374    0.91620    0.60571    0.49677    1.11895    0.90683    0.70232    0.59721    0.50112    0.40295    0.31144
    16    0.01305    0.09118    0.00525    0.53651    0.42517    0.31318    0.60374    0.49326    0.00001    0.67001    0.86369    0.63617    1.06471    0.72078    0.60376    1.32622    1.08972    0.85068    0.73755    0.62016    0.51063    0.40110
    17    0.02494    0.11278    0.01376    0.61676    0.49309    0.36871    0.69998    0.57456    0.00017    0.77843    1.00049    0.74862    1.23167    0.84941    0.71853    1.56084    1.29344    1.02970    0.89202    0.76239    0.63212    0.50863
    18    0.04069    0.13628    0.02523    0.70286    0.56926    0.42961    0.80565    0.66631    0.00044    0.90151    1.15429    0.87263    1.41601    0.99086    0.84697    1.82595    1.52249    1.22220    1.07393    0.92273    0.77531    0.62959
    19    0.05424    0.16060    0.03800    0.79055    0.65276    0.49822    0.91946    0.76873    0.00216    1.03634    1.32269    1.01079    1.61776    1.14767    0.98804    2.12252    1.78441    1.44166    1.27573    1.10665    0.93870    0.77259
    20    0.06861    0.18556    0.05323    0.88746    0.73955    0.57492    1.03537    0.88095    0.00512    1.18100    1.50125    1.16561    1.82602    1.32400    1.14460    2.44834    2.07322    1.69587    1.50156    1.31243    1.12362    0.93534
    21    0.08187    0.21381    0.07165    0.99625    0.83021    0.65896    1.16229    0.99625    0.01465    1.32833    1.68528    1.33512    2.04986    1.51671    1.32063    2.81186    2.39536    1.97148    1.76191    1.54471    1.33145    1.12005
    22    0.09622    0.24581    0.09130    1.11838    0.93198    0.74558    1.30477    1.11838    0.03064    1.49117    1.89187    1.51350    2.30114    1.72459    1.51300    3.20689    2.75485    2.28405    2.04653    1.80849    1.56696    1.32745
    23    0.11135    0.28161    0.11291    1.25547    1.04623    0.83698    1.46472    1.25547    0.05275    1.67396    2.12379    1.69903    2.58323    1.93742    1.72060    3.64935    3.14369    2.63149    2.36620    2.10180    1.83257    1.56228
    24    0.12749    0.32091    0.13640    1.40938    1.17448    0.93958    1.64427    1.40938    0.08235    1.87917    2.38413    1.90731    2.89990    2.17492    1.93326    4.09953    3.57683    3.00997    2.72388    2.42629    2.13038    1.82751
    25    0.14493    0.36589    0.16075    1.58214    1.31845    1.05476    1.84584    1.58214    0.11573    2.10953    2.67639    2.14111    3.25538    2.44154    2.17025    4.60207    4.02681    3.42602    3.10933    2.78792    2.45669    2.12437
    26    0.16327    0.41652    0.18571    1.77609    1.48008    1.18406    2.07211    1.77609    0.15761    2.36812    3.00448    2.40358    3.65444    2.74083    2.43630    5.16622    4.52044    3.87466    3.53742    3.18036    2.82092    2.45030
    27    0.18317    0.47155    0.21398    1.99382    1.66151    1.32921    2.32612    1.99382    0.20377    2.65842    3.37279    2.69823    4.10243    3.07682    2.73495    5.79952    5.07458    4.34964    3.98717    3.61891    3.21693    2.81399
    28    0.20442    0.53466    0.24601    2.23823    1.86519    1.49215    2.61127    2.23823    0.25888    2.98431    3.78624    3.02899    4.60533    3.45399    3.07022    6.51046    5.69665    4.88285    4.47594    4.06904    3.66088    3.20925
    29    0.22724    0.60057    0.28182    2.51261    2.09384    1.67507    2.93137    2.51261    0.32077    3.35014    4.25038    3.40030    5.16987    3.87740    3.44658    7.30855    6.39498    5.48141    5.02463    4.56784    4.11106    3.65206
    30    0.24735    0.67419    0.32115    2.82062    2.35051    1.88041    3.29072    2.82062    0.38472    3.76082    4.77142    3.81713    5.80363    4.35272    3.86908    8.20447    7.17892    6.15336    5.64058    5.12780    4.61502    4.10224
    31    0.25931    0.75683    0.36617    3.16638    2.63865    2.11092    3.69411    3.16638    0.45606    4.22184    5.35632    4.28506    6.51507    4.88630    4.34338    9.21023    8.05895    6.90767    6.33203    5.75639    5.18075    4.60511
     0    0.00058    0.00227    0.00024    0.02276    0.01476    0.00845    0.02213    0.01525    0.00001    0.02208    0.03240    0.01903    0.04465    0.02322    0.01767    0.06101    0.04652    0.03386    0.02828    0.02316    0.01858    0.01457
     1    0.00093    0.00308    0.00039    0.02957    0.01943    0.01135    0.02912    0.02019    0.00001    0.02906    0.04212    0.02518    0.05750    0.03033    0.02310    0.07629    0.05882    0.04306    0.03594    0.02949    0.02367    0.01850
     2    0.00131    0.00415    0.00059    0.03828    0.02549    0.01505    0.03793    0.02658    0.00002    0.03825    0.05476    0.03301    0.07371    0.03948    0.03018    0.09566    0.07369    0.05437    0.04560    0.03751    0.03012    0.02356
     3    0.00176    0.00542    0.00086    0.04900    0.03298    0.01980    0.04910    0.03482    0.00005    0.04969    0.07015    0.04291    0.09376    0.05081    0.03929    0.12003    0.09235    0.06841    0.05764    0.04751    0.03833    0.02999
     4    0.00232    0.00710    0.00122    0.06250    0.04263    0.02596    0.06301    0.04505    0.00008    0.06433    0.09004    0.05572    0.11888    0.06551    0.05058    0.14908    0.11597    0.08562    0.07229    0.06009    0.04850    0.03815
     5    0.00305    0.00930    0.00168    0.07941    0.05431    0.03358    0.08033    0.05814    0.00018    0.08235    0.11381    0.07139    0.14944    0.08335    0.06520    0.18575    0.14414    0.10758    0.09057    0.07519    0.06137    0.04829
     6    0.00400    0.01209    0.00228    0.10042    0.06933    0.04336    0.10222    0.07407    0.00036    0.10504    0.14424    0.09153    0.18814    0.10616    0.08298    0.22888    0.17948    0.13411    0.11379    0.09426    0.07671    0.06110
     7    0.00521    0.01551    0.00308    0.12488    0.08773    0.05524    0.12939    0.09456    0.00066    0.13345    0.18159    0.11571    0.23544    0.13361    0.10568    0.28289    0.22158    0.16677    0.14149    0.11831    0.09619    0.07639
     8    0.00672    0.01997    0.00416    0.15521    0.11008    0.07053    0.16109    0.11957    0.00113    0.16875    0.22703    0.14667    0.29134    0.16822    0.13304    0.34593    0.27369    0.20671    0.17612    0.14700    0.12068    0.09579
     9    0.00864    0.02534    0.00543    0.19083    0.13709    0.08919    0.20065    0.14978    0.00175    0.20986    0.28123    0.18455    0.35975    0.21095    0.16750    0.42395    0.33534    0.25498    0.21765    0.18311    0.14987    0.12018
