  STICS TIME, PHA and DPU M & M/Q TABLE LISTING
  Run time  12:03:58   11-AUG-99
         Input Level 1 Filename: SMSDISK3:[WIND.L1DATA]WI_L1_SMS_19980322_V01.DAT;1
  Clock selected: Wall     Trigger mode is   (Tn.E)+(Tn.En)      
  FIFO mode is OFF         TGS  mode is OFF
  Telemetry mode is Science mode     
  FILTERING CHOICES:
          Voltage step selection =   0 to 31
          Event type selection   =       ALL
          Range selection        =     2 1 0
          Range checking is OFF
          Velocity range         =  260 to   1000
          Selected Telescopes =   1, 2, 3  (-1=not selected)
          Sectors     =   0 to  8
          Telescope checking is ON 
  Start Time:  19980322  00:00:00     End Time:  19980323  00:00:00
       SR BR  Year  Day    Time    VS     E/Q    StopID   StartID/Range  Energy(Ed)  Sector  SSD-ID    ToF(Td)  START   RANGE      M/Q     MASS   NM   NQ  NRG
    14275  L  1998  081   0:01:09  11    22.09      2           14             0         8       0       291       4       2       4.28     0.0    0   52    2
    14275  L  1998  081   0:01:38   1     6.95      2           14             0         8       0       275       4       2       0.99     0.0    0    4    2
    14276  L  1998  081   0:03:57  15    35.08      2           14            15         7       2       174       4       2       1.93     3.5   22   26    2
    14277  L  1998  081   0:07:39   1     6.95      2           14             0         8       0       357       4       2       1.82     0.0    0   24    2
    14278  L  1998  081   0:10:09  11    22.09      2           14             0         8       0       213       4       2       2.00     0.0    0   27    2
    14278  L  1998  081   0:10:33   3     8.76      2           11             0         8       0       473       3       2       4.55     0.0    0   54    2
    14279  L  1998  081   0:12:28  25   111.49      3           20             0         4       0       119       6       2       2.11     0.0    0   28    2
    14282  L  1998  081   0:19:58   4     9.83      2           11             0         8       0       307       3       2       1.96     0.0    0   26    2
    14283  L  1998  081   0:22:58   4     9.83      3           20             0         8       0       237       6       2       1.06     0.0    0    6    2
    14284  L  1998  081   0:28:11  11    22.09      2           11             0         8       0       294       3       2       4.38     0.0    0   52    2
    14288  L  1998  081   0:39:12  30   198.76      3           16             0         6       0       225       5       1      21.88     0.0    0  105    1
    14290  L  1998  081   0:46:12  11    22.09      1            5             0         8       0       162       1       2       0.98     0.0    0    3    2
    14291  L  1998  081   0:47:18  10    19.68      2           14             0         6       0       174       4       2       1.05     0.0    0    5    2
    14292  L  1998  081   0:50:19  10    19.68      2           11             0         8       0       298       3       2       3.99     0.0    0   49    2
    14292  L  1998  081   0:52:31   5    11.04      1            5             0         8       0       313       1       2       2.35     0.0    0   32    2
    14294  L  1998  081   0:56:13   8    15.61      3           20             0         6       0       196       6       2       1.11     0.0    0    7    2
    14294  L  1998  081   0:58:19   9    17.53      1            5             0         6       0       177       1       2       0.96     0.0    0    3    2
    14296  L  1998  081   1:02:14   8    15.61      1            8             0         8       0       203       2       2       1.21     0.0    0   10    2
    14297  L  1998  081   1:05:08   6    12.39      1            8             0         7       0       206       2       2       0.97     0.0    0    3    2
    14297  L  1998  081   1:07:38   3     8.76      1            8             0         3       0       263       2       2       1.18     0.0    0   10    2
    14299  L  1998  081   1:12:56  17    44.21      2           11             0         7       0       131       3       2       1.10     0.0    0    7    2
    14301  L  1998  081   1:17:51  20    62.54      2           14            22         1       2       142       4       2       2.00     2.4   18   27    2
    14301  L  1998  081   1:19:39   3     8.76      1            8             0         7       0       246       2       2       1.01     0.0    0    4    2
    14302  L  1998  081   1:19:52   0     6.19      1            5             0         6       0       296       1       2       1.01     0.0    0    4    2
    14302  L  1998  081   1:21:15  30   198.76      3           16             0         5       0       292       5       1      41.08     0.0    0  127   -1
    14302  L  1998  081   1:22:09  13    27.84      3           20             0         8       0       261       6       2       4.22     0.0    0   51    2
    14302  L  1998  081   1:22:45   1     6.95      2           14             0         8       0       365       4       2       1.91     0.0    0   25    2
    14303  L  1998  081   1:23:09   6    12.39      2           14             0         7       0       269       4       2       1.88     0.0    0   25    2
    14303  L  1998  081   1:23:09   6    12.39      2           14             0         7       0       210       4       2       1.02     0.0    0    5    2
    14303  L  1998  081   1:25:33   5    11.04      2           11             0         8       0       401       3       2       4.14     0.0    0   51    2
    14304  L  1998  081   1:27:46  21    70.20      2           11             0         8       0       175       3       2       4.01     0.0    0   50    2
    14304  L  1998  081   1:28:10  13    27.84      1            8             0         8       0       150       2       2       1.01     0.0    0    4    2
    14305  L  1998  081   1:29:10   6    12.39      1            5             0         7       0       215       1       2       1.08     0.0    0    7    2
    14305  L  1998  081   1:31:04  15    35.08      2           14             0         6       0       232       4       2       4.04     0.0    0   50    2
    14307  L  1998  081   1:35:04   4     9.83      1            5             0         1       0       238       1       2       1.07     0.0    0    6    2
    14307  L  1998  081   1:35:34  14    31.25      3           17             0         5       0       142       5       2       0.97     0.0    0    3    2
    14307  L  1998  081   1:35:40  16    39.38      2           14            14         3       2       167       4       2       1.95     2.9   20   26    2
    14307  L  1998  081   1:37:10  13    27.84      3           17             0         6       0       151       5       2       1.03     0.0    0    5    2
    14308  L  1998  081   1:37:59   2     7.80      2           14             0         8       0       338       4       2       1.85     0.0    0   24    2
    14308  L  1998  081   1:38:05   4     9.83      1            8             0         7       0       254       2       2       1.25     0.0    0   11    2
    14308  L  1998  081   1:38:41  16    39.38      2           11             0         7       0       132       3       2       1.00     0.0    0    4    2
    14308  L  1998  081   1:39:41  23    88.47      1            5            56         7       1       122       1       2       1.80     3.4   22   23    2
    14308  L  1998  081   1:39:59  17    44.21      3           29             0         7       0       252       9       2       6.29     0.0    0   64    2
    14309  L  1998  081   1:41:23  10    19.68      1            8             0         8       0       181       2       2       1.16     0.0    0    9    2
    14309  L  1998  081   1:41:53  20    62.54      1            8            14         6       1       114       2       2       1.02     1.0    8    5    2
    14309  L  1998  081   1:43:35   5    11.04      1            8             0         7       0       229       2       2       1.11     0.0    0    7    2
    14309  L  1998  081   1:43:35   5    11.04      1            8             0         8       0       233       2       2       1.16     0.0    0    9    2
    14310  L  1998  081   1:43:54   0     6.19      2           11             0         8       0       401       3       2       2.03     0.0    0   27    2
    14310  L  1998  081   1:44:05   4     9.83      1           23             0         8       0       244       7       2       1.13     0.0    0    8    2
    14311  L  1998  081   1:47:29  12    24.80      3           20             0         7       0       206       6       2       2.08     0.0    0   28    2
    14312  L  1998  081   1:52:18  11    22.09      3           20             0         7       0       299       6       2       4.56     0.0    0   54    2
    14313  L  1998  081   1:53:18   8    15.61      3           17             0         8       0       196       5       2       1.11     0.0    0    7    2
    14313  L  1998  081   1:53:18   8    15.61      3           17             0         6       0       201       5       2       1.18     0.0    0    9    2
    14313  L  1998  081   1:55:12  13    27.84      2           14             0         8       0       256       4       2       4.03     0.0    0   50    2
