  STICS TIME, PHA and DPU M & M/Q TABLE LISTING
  Run time  08:17:38   12-AUG-99
         Input Level 1 Filename: SMSDISK3:[WIND.L1DATA]WI_L1_SMS_19980322_V01.DAT;1
  Clock selected: Wall     Trigger mode is   (Tn.E)+(Tn.En)      
  FIFO mode is OFF         TGS  mode is OFF
  Telemetry mode is Science mode     
  FILTERING CHOICES:
          Voltage step selection =   0 to 31
          Event type selection   =       ALL
          Range selection        =     2 1 0
          Range checking is OFF
          Velocity range         =  260 to   1000
          Selected Telescopes =   1, 2, 3  (-1=not selected)
          Sectors     =  10 to 10
          Telescope checking is ON 
  Start Time:  19980322  00:00:00     End Time:  19980323  00:00:00
       SR BR  Year  Day    Time    VS     E/Q    StopID   StartID/Range  Energy(Ed)  Sector  SSD-ID    ToF(Td)  START   RANGE      M/Q     MASS   NM   NQ  NRG
    14275  L  1998  081   0:01:15   9    17.53      2           14             0        10       0       432       4       2       8.21     0.0    0   73    2
    14275  L  1998  081   0:01:20   7    13.91      2           14             0        10       0       424       4       2       6.10     0.0    0   63    2
    14275  L  1998  081   0:01:33   3     8.76      2           11             0        10       0       317       3       2       1.84     0.0    0   24    2
    14275  L  1998  081   0:01:33   3     8.76      2           14             0        10       0       386       4       2       2.89     0.0    0   39    2
    14275  L  1998  081   0:01:38   1     6.95      2           14             0        10       0       366       4       2       1.92     0.0    0   25    2
    14275  L  1998  081   0:01:38   1     6.95      2           14             0        10       0       415       4       2       2.55     0.0    0   35    2
    14275  L  1998  081   0:01:38   1     6.95      2           14             0        10       0       372       4       2       2.00     0.0    0   27    2
    14275  L  1998  081   0:01:38   1     6.95      2           11             0        10       0       368       3       2       1.95     0.0    0   26    2
    14275  L  1998  081   0:01:38   1     6.95      2           11             0        10       0       358       3       2       1.83     0.0    0   24    2
    14275  L  1998  081   0:01:38   1     6.95      2           14             0        10       0       388       4       2       2.19     0.0    0   30    2
    14275  L  1998  081   0:01:38   1     6.95      2           11             0        10       0       422       3       2       2.65     0.0    0   36    2
    14275  L  1998  081   0:01:38   1     6.95      2           11             0        10       0       410       3       2       2.48     0.0    0   34    2
    14275  L  1998  081   0:01:38   1     6.95      2           14             0        10       0       411       4       2       2.50     0.0    0   34    2
    14276  L  1998  081   0:01:46   0     6.19      2           14             0        10       0       385       4       2       1.86     0.0    0   24    2
