  STICS TIME, PHA and DPU M & M/Q TABLE LISTING
  Run time  05:30:15   12-AUG-99
         Input Level 1 Filename: SMSDISK3:[WIND.L1DATA]WI_L1_SMS_19980322_V01.DAT;1
  Clock selected: Wall     Trigger mode is   (Tn.E)+(Tn.En)      
  FIFO mode is OFF         TGS  mode is OFF
  Telemetry mode is Science mode     
  FILTERING CHOICES:
          Voltage step selection =   0 to 31
          Event type selection   =       ALL
          Range selection        =     2 1 0
          Range checking is OFF
          Velocity range         =  260 to   1000
          Selected Telescopes =   1, 2, 3  (-1=not selected)
          Sectors     =  11 to 15
          Telescope checking is ON 
  Start Time:  19980322  00:00:00     End Time:  19980323  00:00:00
       SR BR  Year  Day    Time    VS     E/Q    StopID   StartID/Range  Energy(Ed)  Sector  SSD-ID    ToF(Td)  START   RANGE      M/Q     MASS   NM   NQ  NRG
    14275  L  1998  081   0:01:02  13    27.84      1            5             0        11       0       164       1       2       1.29     0.0    0   12    2
    14275  L  1998  081   0:01:20   7    13.91      3           20             0        15       0       241       6       2       1.64     0.0    0   20    2
    14277  L  1998  081   0:07:15   9    17.53      1            8             0        11       0       178       2       2       0.98     0.0    0    3    2
    14282  L  1998  081   0:20:10   8    15.61      1            8             0        13       0       202       2       2       1.20     0.0    0   10    2
    14282  L  1998  081   0:22:10  11    22.09      1            5             0        15       0       209       1       2       1.91     0.0    0   25    2
    14283  L  1998  081   0:25:28   5    11.04      2           11             0        11       0       404       3       2       4.21     0.0    0   51    2
    14285  L  1998  081   0:29:47  20    62.54      3           20            11        11       3       184       6       2       4.07     3.3   21   50    2
    14286  L  1998  081   0:31:54   2     7.80      1            8             0        15       0       487       2       2       4.21     0.0    0   51    2
    14287  L  1998  081   0:35:53  22    78.81      1            8            17        15       1       104       2       2       0.95     0.9    7    2    2
    14288  L  1998  081   0:38:05   6    12.39      3           20             0        15       0       374       6       2       4.04     0.0    0   50    2
    14290  L  1998  081   0:46:00  15    35.08      1            8             0        13       0       139       2       2       1.03     0.0    0    5    2
    14291  L  1998  081   0:47:12   8    15.61      2           14             0        11       0       339       4       2       4.18     0.0    0   51    2
    14291  L  1998  081   0:47:24  12    24.80      2           26             0        11       0       277       8       2       4.30     0.0    0   52    2
    14292  L  1998  081   0:52:25   7    13.91      2           11             0        11       0       204       3       2       1.08     0.0    0    7    2
    14293  L  1998  081   0:53:37  16    39.38      1            5            18        12       1       166       1       2       1.92     3.4   22   25    2
    14293  L  1998  081   0:54:01  24    99.31      2           11            21        11       2       156       3       2       4.18     3.2   21   51    2
    14293  L  1998  081   0:55:37   3     8.76      2           14             0        11       0       329       4       2       2.01     0.0    0   27    2
    14294  L  1998  081   0:56:13   8    15.61      2           14             0        11       0       192       4       2       1.05     0.0    0    6    2
    14295  L  1998  081   0:58:51   0     6.19      2           14             0        11       0       389       4       2       1.90     0.0    0   25    2
    14295  L  1998  081   1:01:07  13    27.84      2           14             0        12       0       150       4       2       1.01     0.0    0    4    2
    14295  L  1998  081   1:01:14  11    22.09      2           14             0        11       0       292       4       2       4.31     0.0    0   52    2
    14295  L  1998  081   1:01:25   7    13.91      3           17             0        11       0       268       5       2       2.12     0.0    0   29    2
    14295  L  1998  081   1:01:43   1     6.95      2           11             0        11       0       279       3       2       1.02     0.0    0    5    2
    14297  L  1998  081   1:07:26   7    13.91      2           14             0        11       0       197       4       2       0.99     0.0    0    4    2
    14298  L  1998  081   1:07:51   0     6.19      2           14             0        11       0       381       4       2       1.81     0.0    0   23    2
    14299  L  1998  081   1:10:52   0     6.19      2           11             0        11       0       399       3       2       2.01     0.0    0   27    2
    14299  L  1998  081   1:10:57   2     7.80      2           14             0        11       0       387       4       2       2.52     0.0    0   34    2
    14299  L  1998  081   1:11:44  18    49.62      1            8             0        14       0       124       2       2       1.05     0.0    0    6    2
    14300  L  1998  081   1:14:09   6    12.39      1            8             0        11       0       217       2       2       1.11     0.0    0    7    2
    14301  L  1998  081   1:19:27   7    13.91      2           11             0        14       0       198       3       2       1.00     0.0    0    4    2
    14301  L  1998  081   1:19:45   1     6.95      2           11             0        11       0       396       3       2       2.30     0.0    0   31    2
    14304  L  1998  081   1:28:28   7    13.91      2           11             0        11       0       206       3       2       1.11     0.0    0    7    2
    14305  L  1998  081   1:28:53   0     6.19      2           14             0        11       0       398       4       2       2.00     0.0    0   27    2
    14305  L  1998  081   1:29:04   4     9.83      2           14             0        11       0       236       4       2       1.05     0.0    0    5    2
    14306  L  1998  081   1:34:16  11    22.09      2           14             0        12       0       164       4       2       1.01     0.0    0    4    2
    14306  L  1998  081   1:34:22   9    17.53      2           26             0        13       0       185       8       2       1.08     0.0    0    7    2
    14307  L  1998  081   1:37:16  11    22.09      2           11             0        11       0       212       3       2       1.98     0.0    0   26    2
    14308  L  1998  081   1:40:04  15    35.08      2           14            10        11       2       175       4       2       1.96     2.6   19   26    2
    14309  L  1998  081   1:41:29  12    24.80      2           11             0        11       0       273       3       2       4.16     0.0    0   51    2
    14309  L  1998  081   1:43:17  11    22.09      2           14             0        11       0       217       4       2       2.10     0.0    0   28    2
    14309  L  1998  081   1:43:29   7    13.91      2           11             0        11       0       264       3       2       2.04     0.0    0   27    2
    14310  L  1998  081   1:43:54   0     6.19      2           11             0        11       0       516       3       2       3.56     0.0    0   46    2
    14310  L  1998  081   1:44:05   4     9.83      2           14             0        11       0       311       4       2       2.02     0.0    0   27    2
    14310  L  1998  081   1:46:29   7    13.91      2           11             0        12       0       263       3       2       2.03     0.0    0   27    2
    14311  L  1998  081   1:47:41  16    39.38      1            5             0        12       0       131       1       2       0.98     0.0    0    3    2
    14311  L  1998  081   1:49:11  13    27.84      2           14             0        12       0       153       4       2       1.06     0.0    0    6    2
    14311  L  1998  081   1:49:42   3     8.76      2           14             0        11       0       317       4       2       1.84     0.0    0   24    2
    14312  L  1998  081   1:52:42   3     8.76      2           14             0        11       0       325       4       2       1.95     0.0    0   26    2
    14313  L  1998  081   1:53:36  14    31.25      2           14             0        12       0       145       4       2       1.03     0.0    0    5    2
    14313  L  1998  081   1:55:18  11    22.09      2           14             0        11       0       241       4       2       2.72     0.0    0   37    2
    14313  L  1998  081   1:55:48   1     6.95      2           11             0        11       0       352       3       2       1.76     0.0    0   22    2
    14314  L  1998  081   1:56:06   4     9.83      2           11             0        11       0       238       3       2       1.07     0.0    0    6    2
    14314  L  1998  081   1:58:12  13    27.84      1            8             0        12       0       154       2       2       1.08     0.0    0    7    2
    14314  L  1998  081   1:58:18  11    22.09      2           14             0        11       0       332       4       2       5.81     0.0    0   62    2
    14315  L  1998  081   1:59:06   4     9.83      2           11             0        11       0       426       3       2       4.14     0.0    0   51    2
    14315  L  1998  081   1:59:18   8    15.61      2           11             0        11       0       339       3       2       4.18     0.0    0   51    2
    14315  L  1998  081   2:01:18  11    22.09      2           14             0        12       0       163       4       2       0.99     0.0    0    4    2
    14315  L  1998  081   2:01:18  11    22.09      2           11             9        11       2       212       3       2       1.98     4.6   25   26    2
    14315  L  1998  081   2:01:48   1     6.95      2           14             0        12       0       528       4       2       4.35     0.0    0   52    2
    14316  L  1998  081   2:01:56   0     6.19      2           11             0        11       0       388       3       2       1.89     0.0    0   25    2
    14316  L  1998  081   2:02:18   8    15.61      2           14             0        11       0       342       4       2       4.27     0.0    0   52    2
    14316  L  1998  081   2:04:19  11    22.09      3           17             0        13       0       166       5       2       1.04     0.0    0    5    2
    14316  L  1998  081   2:04:19  11    22.09      1            5             0        13       0       166       1       2       1.04     0.0    0    5    2
    14316  L  1998  081   2:04:25   9    17.53      2           14             0        11       0       238       4       2       2.05     0.0    0   28    2
    14316  L  1998  081   2:04:25   9    17.53      1            8             0        13       0       238       2       2       2.05     0.0    0   28    2
    14316  L  1998  081   2:04:43   3     8.76      2           14             0        12       0       324       4       2       1.94     0.0    0   26    2
    14316  L  1998  081   2:04:49   1     6.95      2           14             0        11       0       480       4       2       3.53     0.0    0   45    2
    14317  L  1998  081   2:05:49  18    49.62      3           29             0        12       0       203       9       2       4.14     0.0    0   51    2
    14317  L  1998  081   2:07:25   9    17.53      2           14             0        11       0       318       4       2       4.10     0.0    0   50    2
    14317  L  1998  081   2:07:31   7    13.91      3           17             0        13       0       201       5       2       1.04     0.0    0    5    2
    14318  L  1998  081   2:10:07  15    35.08      3           17            15        11       3       179       5       2       2.08     3.8   23   28    2
    14318  L  1998  081   2:10:37   5    11.04      2           11             0        11       0       300       3       2       2.13     0.0    0   29    2
    14319  L  1998  081   2:11:37  14    31.25      2           14             0        12       0       147       4       2       1.07     0.0    0    6    2
