  STICS TIME, PHA and DPU M & M/Q TABLE LISTING
  Run time  08:02:42   12-AUG-99
         Input Level 1 Filename: SMSDISK3:[WIND.L1DATA]WI_L1_SMS_19980322_V01.DAT;1
  Clock selected: Wall     Trigger mode is   (Tn.E)+(Tn.En)      
  FIFO mode is OFF         TGS  mode is OFF
  Telemetry mode is Science mode     
  FILTERING CHOICES:
          Voltage step selection =   0 to 31
          Event type selection   =       ALL
          Range selection        =     2 1 0
          Range checking is OFF
          Velocity range         =  260 to   1000
          Selected Telescopes =   1, 2, 3  (-1=not selected)
          Sectors     =   9 to  9
          Telescope checking is ON 
  Start Time:  19980322  00:00:00     End Time:  19980323  00:00:00
       SR BR  Year  Day    Time    VS     E/Q    StopID   StartID/Range  Energy(Ed)  Sector  SSD-ID    ToF(Td)  START   RANGE      M/Q     MASS   NM   NQ  NRG
    14275  L  1998  081   0:01:20   7    13.91      2           14             0         9       0       430       4       2       6.29     0.0    0   64    2
    14275  L  1998  081   0:01:20   7    13.91      2           14             0         9       0       392       4       2       5.11     0.0    0   57    2
    14275  L  1998  081   0:01:27   5    11.04      2           12             9         9       2       336       4       0       2.77    28.8   45   37    0
    14275  L  1998  081   0:01:27   5    11.04      2           10             0         9       0       668       3       1      11.31     0.0    0   83    1
    14275  L  1998  081   0:01:33   3     8.76      2           14             0         9       0       361       4       2       2.48     0.0    0   34    2
    14275  L  1998  081   0:01:33   3     8.76      2           26             0         9       0       322       8       2       1.91     0.0    0   25    2
    14275  L  1998  081   0:01:33   3     8.76      2           14             0         9       0       323       4       2       1.92     0.0    0   25    2
    14275  L  1998  081   0:01:33   3     8.76      2           14             0         9       0       324       4       2       1.94     0.0    0   26    2
    14275  L  1998  081   0:01:33   3     8.76      2           14             0         9       0       626       4       2       8.37     0.0    0   74    2
    14275  L  1998  081   0:01:33   3     8.76      2           14             0         9       0       364       4       2       2.53     0.0    0   34    2
    14275  L  1998  081   0:01:38   1     6.95      2           14             0         9       0       425       4       2       2.69     0.0    0   36    2
    14275  L  1998  081   0:01:38   1     6.95      2           14             0         9       0       367       4       2       1.94     0.0    0   26    2
    14275  L  1998  081   0:01:38   1     6.95      2           14             0         9       0       364       4       2       1.90     0.0    0   25    2
    14275  L  1998  081   0:01:38   1     6.95      2           11             0         9       0       465       3       2       3.29     0.0    0   43    2
    14275  L  1998  081   0:01:38   1     6.95      2           14             0         9       0       360       4       2       1.85     0.0    0   24    2
    14275  L  1998  081   0:01:38   1     6.95      2           14             0         9       0       365       4       2       1.91     0.0    0   25    2
    14275  L  1998  081   0:01:38   1     6.95      2           11             0         9       0       408       3       2       2.46     0.0    0   33    2
    14275  L  1998  081   0:01:38   1     6.95      2           14             0         9       0       361       4       2       1.86     0.0    0   24    2
    14275  L  1998  081   0:01:38   1     6.95      2           14             0         9       0       412       4       2       2.51     0.0    0   34    2
    14275  L  1998  081   0:01:38   1     6.95      2           14             0         9       0       473       4       2       3.41     0.0    0   44    2
    14275  L  1998  081   0:01:38   1     6.95      2           14             0         9       0       361       4       2       1.86     0.0    0   24    2
    14275  L  1998  081   0:01:38   1     6.95      2           11             0         9       0       425       3       2       2.69     0.0    0   36    2
    14275  L  1998  081   0:01:38   1     6.95      2           14             0         9       0       367       4       2       1.94     0.0    0   26    2
    14275  L  1998  081   0:01:38   1     6.95      2           14             0         9       0       429       4       2       2.75     0.0    0   37    2
    14275  L  1998  081   0:01:38   1     6.95      2           11             0         9       0       421       3       2       2.64     0.0    0   36    2
    14275  L  1998  081   0:01:38   1     6.95      2           11             0         9       0       368       3       2       1.95     0.0    0   26    2
    14275  L  1998  081   0:01:38   1     6.95      2           14             0         9       0       429       4       2       2.75     0.0    0   37    2
    14275  L  1998  081   0:01:38   1     6.95      2           14             0         9       0       362       4       2       1.88     0.0    0   25    2
    14275  L  1998  081   0:01:38   1     6.95      2           14             0         9       0       418       4       2       2.59     0.0    0   35    2
    14276  L  1998  081   0:01:46   0     6.19      2           14             0         9       0       388       4       2       1.89     0.0    0   25    2
    14276  L  1998  081   0:01:46   0     6.19      2           14             0         9       0       381       4       2       1.81     0.0    0   23    2
    14276  L  1998  081   0:01:46   0     6.19      2           14             0         9       0       376       4       2       1.76     0.0    0   22    2
    14276  L  1998  081   0:01:46   0     6.19      2           14             0         9       0       386       4       2       1.87     0.0    0   24    2
    14276  L  1998  081   0:01:46   0     6.19      2           11             0         9       0       379       3       2       1.79     0.0    0   23    2
    14276  L  1998  081   0:01:46   0     6.19      2           14             0         9       0       380       4       2       1.80     0.0    0   23    2
    14276  L  1998  081   0:01:46   0     6.19      2           11             0         9       0       479       3       2       3.02     0.0    0   40    2
    14276  L  1998  081   0:01:46   0     6.19      2           14             0         9       0       367       4       2       1.67     0.0    0   21    2
    14276  L  1998  081   0:01:46   0     6.19      2           14             0         9       0       489       4       2       3.16     0.0    0   42    2
    14276  L  1998  081   0:01:46   0     6.19      2           14             0         9       0       391       4       2       1.92     0.0    0   25    2
    14276  L  1998  081   0:01:46   0     6.19      2           11             0         9       0       433       3       2       2.42     0.0    0   33    2
    14276  L  1998  081   0:01:46   0     6.19      2           11             0         9       0       426       3       2       2.33     0.0    0   32    2
    14276  L  1998  081   0:01:51   2     7.80      2           14             0         9       0       339       4       2       1.87     0.0    0   24    2
    14276  L  1998  081   0:01:51   2     7.80      2           14             0         9       0       401       4       2       2.73     0.0    0   37    2
    14276  L  1998  081   0:01:51   2     7.80      2           14             0         9       0       343       4       2       1.92     0.0    0   25    2
    14276  L  1998  081   0:01:51   2     7.80      2           11             0         9       0       350       3       2       2.01     0.0    0   27    2
    14276  L  1998  081   0:01:51   2     7.80      2           14             0         9       0       342       4       2       1.90     0.0    0   25    2
    14276  L  1998  081   0:01:51   2     7.80      2           14             0         9       0       420       4       2       3.03     0.0    0   40    2
    14276  L  1998  081   0:01:51   2     7.80      2           14             0         9       0       348       4       2       1.98     0.0    0   26    2
    14276  L  1998  081   0:01:51   2     7.80      2           14             0         9       0       369       4       2       2.27     0.0    0   31    2
    14276  L  1998  081   0:01:51   2     7.80      2           14             0         9       0       407       4       2       2.83     0.0    0   38    2
    14276  L  1998  081   0:01:51   2     7.80      2           14             0         9       0       417       4       2       2.98     0.0    0   40    2
    14276  L  1998  081   0:01:51   2     7.80      2           14             0         9       0       394       4       2       2.63     0.0    0   36    2
    14276  L  1998  081   0:01:51   2     7.80      2           14             0         9       0       343       4       2       1.92     0.0    0   25    2
    14276  L  1998  081   0:01:51   2     7.80      2           14             0         9       0       432       4       2       3.23     0.0    0   42    2
    14276  L  1998  081   0:01:51   2     7.80      2           14             0         9       0       340       4       2       1.88     0.0    0   25    2
    14276  L  1998  081   0:01:51   2     7.80      2           14             0         9       0       340       4       2       1.88     0.0    0   25    2
    14276  L  1998  081   0:01:51   2     7.80      2           11             0         9       0       339       3       2       1.87     0.0    0   24    2
    14276  L  1998  081   0:04:21   7    13.91      2           14             0         9       0       426       4       2       6.16     0.0    0   64    2
    14276  L  1998  081   0:04:21   7    13.91      2           11             0         9       0       435       3       2       6.46     0.0    0   65    2
    14276  L  1998  081   0:04:39   1     6.95      2           11             0         9       0       368       3       2       1.95     0.0    0   26    2
    14276  L  1998  081   0:04:39   1     6.95      2           14             0         9       0       473       4       2       3.41     0.0    0   44    2
    14276  L  1998  081   0:04:39   1     6.95      2           14             0         9       0       358       4       2       1.83     0.0    0   24    2
    14276  L  1998  081   0:04:39   1     6.95      2           14             0         9       0       366       4       2       1.92     0.0    0   25    2
    14276  L  1998  081   0:04:39   1     6.95      2           14             0         9       0       407       4       2       2.44     0.0    0   33    2
    14276  L  1998  081   0:04:39   1     6.95      2           14             0         9       0       445       4       2       2.98     0.0    0   40    2
    14276  L  1998  081   0:04:39   1     6.95      2           14             0         9       0       365       4       2       1.91     0.0    0   25    2
    14276  L  1998  081   0:04:39   1     6.95      2           14             0         9       0       370       4       2       1.97     0.0    0   26    2
    14276  L  1998  081   0:04:39   1     6.95      2           14             0         9       0       431       4       2       2.78     0.0    0   37    2
    14276  L  1998  081   0:04:39   1     6.95      2           14             0         9       0       359       4       2       1.84     0.0    0   24    2
    14276  L  1998  081   0:04:39   1     6.95      2           14             0         9       0       429       4       2       2.75     0.0    0   37    2
    14276  L  1998  081   0:04:39   1     6.95      2           11             0         9       0       400       3       2       2.35     0.0    0   32    2
    14277  L  1998  081   0:04:46   0     6.19      2           14             0         9       0       389       4       2       1.90     0.0    0   25    2
    14277  L  1998  081   0:04:46   0     6.19      2           14             0         9       0       421       4       2       2.27     0.0    0   31    2
    14277  L  1998  081   0:04:46   0     6.19      2           14             0         9       0       383       4       2       1.83     0.0    0   24    2
    14277  L  1998  081   0:04:46   0     6.19      2           14             0         9       0       434       4       2       2.43     0.0    0   33    2
    14277  L  1998  081   0:04:46   0     6.19      2           14             0         9       0       379       4       2       1.79     0.0    0   23    2
    14277  L  1998  081   0:04:46   0     6.19      2           14             0         9       0       414       4       2       2.19     0.0    0   30    2
    14277  L  1998  081   0:04:46   0     6.19      2           14             0         9       0       378       4       2       1.78     0.0    0   23    2
    14277  L  1998  081   0:04:46   0     6.19      2           14             0         9       0       379       4       2       1.79     0.0    0   23    2
    14277  L  1998  081   0:04:46   0     6.19      2           11             0         9       0       387       3       2       1.88     0.0    0   25    2
    14277  L  1998  081   0:04:46   0     6.19      2           14             0         9       0       441       4       2       2.52     0.0    0   34    2
    14277  L  1998  081   0:04:46   0     6.19      2           14             0         9       0       500       4       2       3.32     0.0    0   43    2
    14277  L  1998  081   0:04:46   0     6.19      2           14             0         9       0       378       4       2       1.78     0.0    0   23    2
    14277  L  1998  081   0:04:51   2     7.80      2           11             0         9       0       409       3       2       2.86     0.0    0   38    2
    14277  L  1998  081   0:04:51   2     7.80      2           26             0         9       0       378       8       2       2.39     0.0    0   33    2
    14277  L  1998  081   0:04:51   2     7.80      2           14             0         9       0       412       4       2       2.90     0.0    0   39    2
    14277  L  1998  081   0:04:51   2     7.80      2           14             0         9       0       426       4       2       3.13     0.0    0   41    2
    14277  L  1998  081   0:05:03   6    12.39      2           11             0         9       0       275       3       2       1.98     0.0    0   26    2
    14277  L  1998  081   0:07:21   7    13.91      2           14             0         9       0       470       4       2       7.66     0.0    0   71    2
    14277  L  1998  081   0:07:27   5    11.04      2           14             0         9       0       479       4       2       6.14     0.0    0   63    2
    14277  L  1998  081   0:07:27   5    11.04      2           14             0         9       0       474       4       2       6.00     0.0    0   63    2
    14277  L  1998  081   0:07:33   3     8.76      2           14             0         9       0       397       4       2       3.08     0.0    0   41    2
    14277  L  1998  081   0:07:33   3     8.76      2           11             0         9       0       452       3       2       4.11     0.0    0   50    2
    14277  L  1998  081   0:07:33   3     8.76      2           11             0         9       0       505       3       2       5.25     0.0    0   58    2
    14277  L  1998  081   0:07:33   3     8.76      2           11             0         9       0       385       3       2       2.87     0.0    0   39    2
    14277  L  1998  081   0:07:33   3     8.76      2           14             0         9       0       427       4       2       3.62     0.0    0   46    2
    14277  L  1998  081   0:07:33   3     8.76      2           14             0         9       0       360       4       2       2.47     0.0    0   34    2
    14277  L  1998  081   0:07:39   1     6.95      2           14             0         9       0       361       4       2       1.86     0.0    0   24    2
    14277  L  1998  081   0:07:39   1     6.95      2           11             0         9       0       378       3       2       2.07     0.0    0   28    2
    14277  L  1998  081   0:07:39   1     6.95      2           14             0         9       0       366       4       2       1.92     0.0    0   25    2
    14277  L  1998  081   0:07:39   1     6.95      2           11             0         9       0       490       3       2       3.69     0.0    0   47    2
    14277  L  1998  081   0:07:39   1     6.95      2           14             0         9       0       330       4       2       1.52     0.0    0   18    2
    14277  L  1998  081   0:07:39   1     6.95      2           14             0         9       0       365       4       2       1.91     0.0    0   25    2
    14277  L  1998  081   0:07:39   1     6.95      2           11             0         9       0       441       3       2       2.92     0.0    0   39    2
    14277  L  1998  081   0:07:39   1     6.95      2           14             0         9       0       355       4       2       1.79     0.0    0   23    2
    14277  L  1998  081   0:07:39   1     6.95      2           14             0         9       0       361       4       2       1.86     0.0    0   24    2
