  STICS TIME, PHA and DPU M & M/Q TABLE LISTING
  Run time  08:36:12   12-AUG-99
         Input Level 1 Filename: SMSDISK3:[WIND.L1DATA]WI_L1_SMS_19980322_V01.DAT;1
  Clock selected: Wall     Trigger mode is   (Tn.E)+(Tn.En)      
  FIFO mode is OFF         TGS  mode is OFF
  Telemetry mode is Science mode     
  FILTERING CHOICES:
          Voltage step selection =   0 to 31
          Event type selection   =       ALL
          Range selection        =     2 1 0
          Range checking is OFF
          Velocity range         =  260 to   1000
          Selected Telescopes =   1,-1, 3  (-1=not selected)
          Sectors     =   9 to 10
          Telescope checking is ON 
  Start Time:  19980322  00:00:00     End Time:  19980323  00:00:00
       SR BR  Year  Day    Time    VS     E/Q    StopID   StartID/Range  Energy(Ed)  Sector  SSD-ID    ToF(Td)  START   RANGE      M/Q     MASS   NM   NQ  NRG
    14280  L  1998  081   0:16:10  11    22.09      3           17             0        10       0       303       5       2       4.70     0.0    0   55    2
    14281  L  1998  081   0:16:53   2     7.80      3           17             0         9       0       362       5       2       2.17     0.0    0   29    2
    14281  L  1998  081   0:19:22   7    13.91      3           17             0         9       0       271       5       2       2.18     0.0    0   29    2
    14284  L  1998  081   0:25:48   0     6.19      1            8             0        10       0       315       2       2       1.17     0.0    0    9    2
    14285  L  1998  081   0:28:53   2     7.80      3           17             0        10       0       352       5       2       2.03     0.0    0   27    2
    14286  L  1998  081   0:32:11   8    15.61      1            8             0        10       0       359       2       2       4.77     0.0    0   55    2
    14287  L  1998  081   0:35:47  20    62.54      1            8            12         9       1       181       2       2       3.90     3.3   21   49    2
    14288  L  1998  081   0:38:29  14    31.25      3           17            13         9       3       189       5       2       2.13     4.1   24   29    2
    14288  L  1998  081   0:39:54  17    44.21      1            8            11         9       1       124       2       2       0.93     1.0    8    2    2
    14291  L  1998  081   0:49:24   7    13.91      1            8             0        10       0       367       2       2       4.41     0.0    0   53    2
    14292  L  1998  081   0:52:25   7    13.91      1            7             0         9       0       941       2       1      31.24     0.0    0  117    1
    14296  L  1998  081   1:02:08   6    12.39      3           17             0        10       0       210       5       2       1.02     0.0    0    5    2
    14297  L  1998  081   1:05:14   8    15.61      3           20             0         9       0       346       6       2       4.38     0.0    0   52    2
    14300  L  1998  081   1:13:52   0     6.19      1            8             0         9       0       306       2       2       1.10     0.0    0    7    2
    14301  L  1998  081   1:19:15  11    22.09      1            5             0        10       0       163       1       2       0.99     0.0    0    4    2
    14301  L  1998  081   1:19:33   5    11.04      1            8             0        10       0       227       2       2       1.09     0.0    0    7    2
    14305  L  1998  081   1:29:40  16    39.38      3           20             9        10       3       133       6       2       1.02     1.1    9    5    2
    14306  L  1998  081   1:34:04  15    35.08      1            5             0         9       0       136       1       2       0.97     0.0    0    3    2
    14307  L  1998  081   1:37:23   9    17.53      3           17             0         9       0       187       5       2       1.12     0.0    0    8    2
    14309  L  1998  081   1:43:41   3     8.76      1            8             0        10       0       348       2       2       2.28     0.0    0   31    2
