 STICS ION VELOCITY AT EACH VOLTAGE STEP
  DVS       H      He2      He1       C6       C5       C4       07       O6       O1      Ne8     Mg10      Mg8     Si12      Si9      Si8     Fe16     Fe14     Fe12     Fe11     Fe10      Fe9      Fe8                                                                         
    0   1089.1    773.0    546.6    772.9    705.5    631.0    723.3    669.6    273.4    688.5    701.4    627.4    714.8    619.0    583.6    585.3    547.5    506.9    485.3    462.7    439.0    413.9
    1   1154.0    819.0    579.1    818.9    747.5    668.6    766.4    709.5    289.7    729.5    743.2    664.7    757.3    655.8    618.3    620.1    580.1    537.1    514.2    490.3    465.1    438.5
    2   1222.7    867.7    613.6    867.6    792.0    708.4    812.0    751.7    306.9    772.9    787.4    704.3    802.4    694.9    655.1    657.0    614.6    569.0    544.8    519.4    492.8    464.6
    3   1295.4    919.4    650.1    919.2    839.1    750.6    860.3    796.5    325.2    818.9    834.3    746.2    850.1    736.2    694.1    696.2    651.2    602.9    577.2    550.4    522.1    492.3
    4   1372.5    974.1    688.8    973.9    889.1    795.2    911.5    843.9    344.5    867.7    883.9    790.6    900.7    780.1    735.5    737.6    690.0    638.8    611.6    583.1    553.2    521.6
    5   1454.2   1032.0    729.8   1031.9    942.0    842.6    965.8    894.1    365.0    919.3    936.5    837.7    954.4    826.5    779.2    781.5    731.0    676.8    648.0    617.8    586.1    552.6
    6   1540.8   1093.5    773.2   1093.3    998.1    892.7   1023.2    947.3    386.7    974.0    992.3    887.5   1011.2    875.7    825.6    828.0    774.5    717.1    686.5    654.6    621.0    585.5
    7   1632.5   1158.6    819.2   1158.4   1057.5    945.8   1084.1   1003.7    409.8   1032.0   1051.3    940.3   1071.4    927.8    874.8    877.3    820.6    759.8    727.4    693.6    658.0    620.3
    8   1729.7   1227.5    868.0   1227.4   1120.4   1002.1   1148.7   1063.5    434.2   1093.4   1113.9    996.3   1135.1    983.0    926.8    929.5    869.5    805.0    770.7    734.8    697.1    657.3
    9   1832.6   1300.6    919.7   1300.4   1187.1   1061.8   1217.0   1126.8    460.0   1158.5   1180.2   1055.6   1202.7   1041.6    982.0    984.8    921.2    852.9    816.6    778.6    738.6    696.4
   10   1941.7   1378.0    974.4   1377.8   1257.8   1125.0   1289.5   1193.8    487.4   1227.5   1250.5   1118.4   1274.3   1103.5   1040.4   1043.5    976.1    903.7    865.2    824.9    782.6    737.8
   11   2057.3   1460.0   1032.4   1459.8   1332.6   1192.0   1366.2   1264.9    516.4   1300.5   1324.9   1185.0   1350.1   1169.2   1102.4   1105.6   1034.2    957.4    916.7    874.0    829.2    781.8
   12   2179.7   1546.9   1093.8   1546.7   1412.0   1262.9   1447.6   1340.2    547.1   1377.9   1403.7   1255.5   1430.5   1238.8   1168.0   1171.4   1095.7   1014.4    971.2    926.0    878.5    828.3
   13   2309.5   1639.0   1158.9   1638.8   1496.0   1338.1   1533.7   1420.0    579.7   1459.9   1487.3   1330.3   1515.6   1312.6   1237.5   1241.1   1160.9   1074.8   1029.1    981.2    930.8    877.6
