 STICS SECTORED MATRIX RATES (H+1)
         Input Level 1 Filename: SMSDISK3:[WIND.L1DATA]WI_L1_SMS_19941224_V01.DAT;2
         FIFO mode is OFF    TGS mode is ON       Telemetry mode is Science mode     
========================================================================================================================================================================
                                        TELESCOPE 1                                     TELESCOPE 2                                     TELESCOPE 3
 YEAR DOY HH:MM:SC     0+1   2+3   4+5   6+7   8+9  10+11 12+13 14+15  0+1   2+3   4+5   6+7   8+9  10+11 12+13 14+15  0+1   2+3   4+5   6+7   8+9  10+11 12+13 14+15
========================================================================================================================================================================
 1994 358  6:30:09     0.03  0.00  0.07  0.14  0.07  0.00  0.00  0.03  0.07  0.21  0.21  0.17  0.00  0.00  0.00  0.14  0.07  0.00  0.14  0.10  0.00  0.00  0.03  0.07
 1994 358  6:33:21    22.75 29.00 34.00 47.75 23.00 11.25 16.00 33.25 13.25 21.50 29.00 36.50  2.50  1.00  8.25 20.25 12.50 18.50 27.25 29.50 18.25  5.75 17.25 18.00
 1994 358  6:36:33    21.25 23.50 29.50 28.50  8.00  4.75  9.00 18.75 18.75 25.25 31.50 36.50 10.50  2.50  7.75 19.50 15.00 24.75 34.50 35.00 31.75 26.25 25.25 21.75
 1994 358  6:39:45    11.25 19.75 17.00  9.50  0.75  0.50  3.75  7.50 14.50 16.75 27.25 25.50  1.75  1.50  9.50 13.50 18.00 20.00 21.75 38.25 28.50 22.00 16.50 18.00
 1994 358  6:42:56     0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.75  3.75  9.25  2.75  0.00  0.00  0.00  0.00  6.00 11.25 20.75 11.25  5.25  3.75  2.00  3.00
 1994 358  6:46:08     2.25  3.00  3.00  0.00  0.00  0.00  0.00  0.00  2.50  9.25 11.75  1.25  0.00  0.00  0.00  1.00  7.00 18.25 15.50  4.75  0.00  0.25  0.00  1.25
 1994 358  6:49:20     0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  7.75 14.50  9.75  1.75  0.00  0.00  0.00  1.25 23.75 22.50 34.25 27.50  9.75  2.75 10.00 15.50
 1994 358  6:52:32     3.00  5.25  3.00  2.00  1.00  0.75  1.75  3.50  3.25  8.75  4.75  4.75  0.00  0.00  1.00  3.50 11.25 15.75 12.75 10.00  4.50  1.75  8.25  8.00
 1994 358  6:55:44     2.75  5.75  7.00  4.50  2.25  2.25  2.50  2.50  2.75  6.00  7.75  3.75  0.50  0.00  1.00  3.00  2.75  4.25  8.50  3.50  1.00  0.25  1.25  1.75
 1994 358  6:58:56     1.25  0.75  0.50  1.50  1.25  1.75  1.50  2.00  0.25  0.25  0.00  0.75  0.00  0.00  0.25  0.25  0.00  0.00  0.25  0.00  0.00  0.00  0.00  0.00
 1994 358  7:00:00     0.15  0.08  0.00  0.15  0.00  0.23  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.08  0.00  0.00  0.00  0.08  0.00  0.00  0.00  0.00
