 STICS OMNIDIRECTIONAL MATRIX RATES 1
         Input Level 1 Filename: SMSDISK3:[WIND.L1DATA]WI_L1_SMS_19941216_V01.DAT;1
         Clock selected:         Wall
         FIFO mode is ON     TGS mode is ON       Telemetry mode is Science mode     
 Sci Rec#      Time      BR VS    E/Q      OMR 0   OMR 1   OMR 2   OMR 3   OMR 4   OMR 5   OMR 6   OMR 7   OMR 8   OMR 9  HMR Sum  SMR Sum
__________________________________________________________________________________________________________________________________________
    14269 94 350  0:00:23 H  0    6.191       0       0       0       0       0       0       0       0       0       0       18        0
    14269 94 350  0:00:26 H  0    6.191       1       0       0       0       0       0       0       0       0       0       17        3
    14269 94 350  0:00:29 H  0    6.191       0       0       0       0       0       0       0       0       0       0       20        4
    14269 94 350  0:00:32 H  0    6.191       2       0       0       0       0       0       0       0       0       0       20        0
    14269 94 350  0:00:35 H  0    6.191       1       0       0       0       0       0       0       0       0       0       20        3
    14269 94 350  0:00:39 H  0    6.191       0       0       0       0       0       0       0       0       0       0       22        2
    14269 94 350  0:00:42 H  0    6.191       1       0       0       0       0       0       0       0       0       0       26        1
    14269 94 350  0:00:45 H  0    6.191       0       0       0       0       0       0       0       0       0       0       21        2
    14269 94 350  0:00:48 H  0    6.191       3       0       0       0       0       0       0       0       0       0       33        0
    14269 94 350  0:00:51 H  0    6.191       0       0       0       0       0       0       0       0       0       0       15        2
    14269 94 350  0:00:55 H  0    6.191       0       0       0       0       0       0       0       0       0       0       23        1
    14269 94 350  0:00:58 H  0    6.191       0       0       0       0       0       0       0       0       0       0       22        1
    14269 94 350  0:01:01 H  0    6.191       0       0       0       0       0       0       0       0       0       0       15        4
    14269 94 350  0:01:04 H  0    6.191       0       0       0       0       0       0       0       0       0       0       20        2
    14269 94 350  0:01:07 H  0    6.191       0       0       0       0       0       0       0       0       0       0       27        3
    14269 94 350  0:01:10 H  0    6.191       0       0       0       0       0       0       0       0       0       0       21        1
    14269 94 350  0:01:14 H  0    6.191       0       0       0       0       0       0       0       0       0       0       23        1
    14269 94 350  0:01:17 H  0    6.191       1       0       0       0       0       0       0       0       0       0       31        2
    14269 94 350  0:01:20 H  0    6.191       2       0       0       0       0       0       0       0       0       0       36        6
    14269 94 350  0:01:23 H  0    6.191       1       0       0       0       0       0       0       0       0       0       15        4
    14269 94 350  0:01:26 H  0    6.191       1       0       0       0       0       0       0       0       0       0       29        1
    14269 94 350  0:01:30 H  0    6.191       3       0       0       0       0       0       0       0       0       0       23        5
    14269 94 350  0:01:33 H  0    6.191       0       0       0       0       0       0       0       0       0       0       18        3
    14269 94 350  0:01:36 H  0    6.191       0       0       0       0       0       0       0       0       0       0       26        5
    14269 94 350  0:01:39 H  0    6.191       1       0       0       0       0       0       0       0       0       0       30        2
    14269 94 350  0:01:42 H  0    6.191       0       0       0       0       0       0       0       0       0       0       29        3
    14269 94 350  0:01:46 H  0    6.191       1       0       0       0       0       0       0       0       0       0       22        5
    14269 94 350  0:01:49 H  0    6.191       0       0       0       0       0       0       0       0       0       0       26        4
    14269 94 350  0:01:52 H  0    6.191       0       0       0       0       0       0       0       0       0       0       34        2
    14269 94 350  0:01:55 H  0    6.191       0       0       0       0       0       0       0       0       0       0       21        3
    14269 94 350  0:01:58 H  0    6.191       1       0       0       0       0       0       0       0       0       0       26        1
    14269 94 350  0:02:02 H  0    6.191       0       0       0       0       0       0       0       0       0       0       31        0
    14270 94 350  0:02:05 H  0    6.191       2       0       0       0       0       0       0       0       0       0       31        0
    14270 94 350  0:02:08 H  0    6.191       0       0       0       0       0       0       0       0       0       0       23        0
    14270 94 350  0:02:11 H  0    6.191       0       0       0       0       0       0       0       0       0       0       22        0
    14270 94 350  0:02:14 H  0    6.191       1       0       0       0       0       0       0       0       0       0       35        0
    14270 94 350  0:02:18 H  0    6.191       4       0       0       0       0       0       0       0       0       0       29        1
    14270 94 350  0:02:21 H  0    6.191       1       0       0       0       0       0       0       0       0       0       36        0
    14270 94 350  0:02:24 H  0    6.191       0       0       0       0       0       0       0       0       0       0       25        0
    14270 94 350  0:02:27 H  0    6.191       0       0       0       0       0       0       0       0       0       0       33        1
