 1  STICS TIME, PHA and DPU M & M/Q TABLE LISTING
 2       Input Level 1 Filename: SMSDISK3:[WIND.L1DATA]WI_L1_SMS_19941224_V01.DAT;2
 3              Output Filename: STICS_PHA_19941224_
 4
 5  Clock selected: Wall            DATA FILTERING CHOICES:   Voltage step selection =   0 to 31      TELESCOPE FILTERING CHOICES:   Start anode =  -1
 6  Trigger mode is Tn                                        Event type selection   =   M/Q & M                                     Stop MCP    =  -1
 7  FIFO mode is OFF                                          Range selection        =     2 1 0                                     SSD ID      =  -1
 8  TGS  mode is ON                                           Range checking is OFF                                                  Telescope checking is OFF
 9  Telemetry mode is Science mode     
 10
 11    SR BR  Year  Day    Time    VS     E/Q    StopID   StartID/Range  Energy(Ed)  Sector  SSD-ID    ToF(Td)  START   RANGE      M/Q     MASS   NM   NQ  NRG
     3325  H  1994  358   6:30:25  10    19.68      2            9            20         1       2       252       3       0       2.68    17.8   40   36    0
     3325  H  1994  358   6:30:25  10    19.68      1            8             5        15       1       223       2       2       1.98     3.8   23   26    2
     3325  H  1994  358   6:30:25  10    19.68      2           11             9         2       2       221       3       2       1.94     5.4   27   26    2
     3325  H  1994  358   6:30:28  12    24.80      1            8             8        15       1       201       2       2       1.95     3.6   22   26    2
     3325  H  1994  358   6:30:28  12    24.80      3           20             6         8       3       203       6       2       2.00     3.1   21   27    2
     3325  H  1994  358   6:30:28  12    24.80      3           20            11        13       3       206       6       2       2.08     4.8   26   28    2
     3325  H  1994  358   6:30:28  12    24.80      1            5             5         3       1       201       1       2       1.95     2.7   19   26    2
     3325  H  1994  358   6:30:28  12    24.80      3           20             5         4       3       161       6       2       1.09     1.4   12    7    2
     3325  H  1994  358   6:30:28  12    24.80      2           14             6         3       2       202       4       2       1.98     3.0   20   26    2
     3325  H  1994  358   6:30:28  12    24.80      3           17            11         7       3       204       5       2       2.03     4.7   25   27    2
     3325  H  1994  358   6:30:28  12    24.80      2           11             7        15       2       205       3       2       2.06     3.5   22   28    2
     3325  H  1994  358   6:30:28  12    24.80      2           14             7         6       2       203       4       2       2.00     3.4   22   27    2
     3325  H  1994  358   6:30:31  14    31.25      3           17            13         7       3       186       5       2       2.04     3.9   23   27    2
     3325  H  1994  358   6:30:31  14    31.25      1            8             3         0       1       147       2       2       1.07     0.9    7    6    2
     3325  H  1994  358   6:30:31  14    31.25      1            5             6         9       1       148       1       2       1.10     1.2   10    7    2
     3325  H  1994  358   6:30:31  14    31.25      3           17            10         0       3       187       5       2       2.07     3.2   21   28    2
     3325  H  1994  358   6:30:31  14    31.25      2           14            12         2       2       182       4       2       1.93     3.4   22   25    2
     3325  H  1994  358   6:30:31  14    31.25      1            5             9         4       1       147       1       2       1.07     1.4   12    6    2
     3325  H  1994  358   6:30:31  14    31.25      2           14             5         6       2       146       4       2       1.05     1.0    9    6    2
     3325  H  1994  358   6:30:31  14    31.25      2           11             8        15       2       185       3       2       2.01     2.7   19   27    2
     3325  H  1994  358   6:30:31  14    31.25      1            8             9         0       1       146       2       2       1.05     1.4   12    6    2
     3325  H  1994  358   6:30:31  14    31.25      1            8            14         2       1       185       2       2       2.01     4.0   24   27    2
     3325  H  1994  358   6:30:31  14    31.25      2           11            15         7       2       183       3       2       1.96     4.1   24   26    2
     3325  H  1994  358   6:30:31  14    31.25      2           14            11         3       2       184       4       2       1.98     3.3   21   26    2
