 STICS SELECTED RATES
         Input Level 1 Filename: SMSDISK3:[WIND.L1DATA]WI_L1_SMS_19950401_V01.DAT;1
         FIFO mode is OFF    TGS mode is OFF      Telemetry mode is Science mode     
 YEAR DOY HR:MIN:SEC          H        He2        He1        BR0        BR1        BR2      FSR12      FSR34      FSR56         O1    Fe14&16     Fe9&10 
 1995  91  0:30:26          0.00       0.00       0.00       0.00       0.00       0.01      23.21      25.36      17.86       0.00       0.00       0.00
 1995  91  1:00:33          0.00       0.00       0.00       0.00       0.00       0.00      23.05      25.83      18.30       0.00       0.00       0.00
 1995  91  1:30:40          0.00       0.00       0.00       0.00       0.00       0.01      23.19      25.42      17.88       0.00       0.00       0.00
 1995  91  2:00:47          0.00       0.00       0.00       0.00       0.00       0.00      22.70      25.65      18.16       0.00       0.00       0.00
 1995  91  2:30:54          0.00       0.00       0.00       0.00       0.00       0.01      23.24      25.57      18.01       0.00       0.00       0.00
 1995  91  3:01:00          0.00       0.00       0.00       0.00       0.00       0.00      22.92      25.27      18.04       0.00       0.00       0.00
 1995  91  3:31:07          0.00       0.00       0.00       0.00       0.00       0.01      23.21      25.64      17.93       0.00       0.00       0.00
 1995  91  4:01:14          0.00       0.00       0.00       0.00       0.00       0.00      23.00      24.95      17.78       0.00       0.00       0.00
 1995  91  4:28:20          0.00       0.00       0.00       0.00       0.00       0.00      23.30      25.81      17.97       0.00       0.00       0.00
 1995  91  5:01:27          0.00       0.00       0.00       0.00       0.00       0.00      22.87      25.47      18.03       0.00       0.00       0.00
 1995  91  5:31:34          0.00       0.00       0.00       0.00       0.00       0.00      23.40      25.69      18.03       0.00       0.00       0.00
 1995  91  6:01:40          0.00       0.00       0.00       0.00       0.00       0.00      23.09      25.26      18.03       0.00       0.00       0.00
 1995  91  6:31:47          0.00       0.00       0.00       0.00       0.00       0.01      22.93      25.56      17.84       0.00       0.00       0.00
 1995  91  7:01:54          0.00       0.00       0.00       0.00       0.00       0.00      23.23      25.39      18.11       0.00       0.00       0.00
 1995  91  7:32:01          0.00       0.00       0.00       0.00       0.00       0.00      23.33      25.39      17.81       0.00       0.00       0.00
 1995  91  8:02:07          0.00       0.00       0.00       0.00       0.00       0.00      23.23      25.29      17.92       0.00       0.00       0.00
 1995  91  8:32:14          0.00       0.00       0.00       0.00       0.00       0.00      23.06      25.47      18.10       0.00       0.00       0.00
 1995  91  9:02:21          0.00       0.00       0.00       0.00       0.00       0.00      23.36      25.45      18.27       0.00       0.00       0.00
 1995  91  9:32:27          0.00       0.00       0.00       0.00       0.00       0.00      22.99      25.45      18.08       0.00       0.00       0.00
 1995  91 10:02:34          0.00       0.00       0.00       0.00       0.00       0.00      23.20      25.29      17.91       0.00       0.00       0.00
 1995  91 10:32:41          0.00       0.00       0.00       0.00       0.00       0.00      22.95      25.57      18.01       0.00       0.00       0.00
 1995  91 11:02:48          0.00       0.00       0.00       0.00       0.00       0.00      23.40      25.56      18.49       0.00       0.00       0.00
 1995  91 11:32:54          0.00       0.00       0.00       0.00       0.00       0.00      23.30      25.79      18.33       0.00       0.00       0.00
 1995  91 12:03:01          0.00       0.00       0.00       0.00       0.00       0.01      23.19      25.34      18.23       0.00       0.00       0.00
 1995  91 12:33:08          0.00       0.00       0.00       0.00       0.00       0.00      23.06      26.07      17.82       0.00       0.00       0.00
 1995  91 13:03:14          0.00       0.00       0.00       0.00       0.00       0.00      23.21      25.61      18.31       0.00       0.00       0.00
 1995  91 13:33:21          0.00       0.00       0.00       0.00       0.00       0.00      23.16      25.63      18.26       0.00       0.00       0.00
 1995  91 14:03:28          0.00       0.00       0.00       0.00       0.00       0.01      23.08      25.34      18.27       0.00       0.00       0.00
 1995  91 14:33:34          0.00       0.00       0.00       0.00       0.00       0.00      23.00      25.50      17.83       0.00       0.00       0.00
 1995  91 15:03:41          0.00       0.00       0.00       0.00       0.00       0.01      22.97      25.12      18.16       0.00       0.00       0.00
 1995  91 15:33:48          0.00       0.00       0.01       0.00       0.00       0.01      23.06      25.30      17.97       0.00       0.00       0.00
 1995  91 16:03:55          0.00       0.00       0.01       0.00       0.00       0.01      23.27      25.78      18.32       0.00       0.00       0.00
 1995  91 16:34:01          0.00       0.00       0.00       0.00       0.00       0.01      22.66      25.72      17.89       0.00       0.00       0.00
 1995  91 17:04:08          0.01       0.00       0.00       0.00       0.00       0.01      23.21      25.54      17.90       0.00       0.00       0.00
 1995  91 17:34:15          0.00       0.00       0.00       0.00       0.00       0.00      22.76      25.47      17.87       0.00       0.00       0.00
 1995  91 18:04:21          0.00       0.00       0.00       0.00       0.00       0.00      23.13      25.49      17.68       0.00       0.00       0.00
 1995  91 18:34:28          0.00       0.00       0.00       0.00       0.00       0.01      23.19      25.40      17.99       0.00       0.00       0.00
 1995  91 19:04:35          0.00       0.00       0.00       0.00       0.00       0.01      23.07      25.29      17.71       0.00       0.00       0.00
 1995  91 19:34:42          0.00       0.00       0.00       0.00       0.00       0.00      23.07      25.62      17.70       0.00       0.00       0.00
 1995  91 20:04:48          0.00       0.00       0.00       0.00       0.00       0.01      23.05      25.17      17.90       0.00       0.00       0.00
 1995  91 20:34:55          0.00       0.00       0.00       0.00       0.00       0.01      22.99      25.34      17.92       0.00       0.00       0.00
 1995  91 21:05:02          0.00       0.00       0.00       0.00       0.00       0.00      23.00      25.26      18.07       0.00       0.00       0.00
 1995  91 21:35:08          0.00       0.00       0.00       0.00       0.00       0.00      22.87      25.38      18.25       0.00       0.00       0.00
 1995  91 22:05:15          0.00       0.00       0.00       0.00       0.00       0.00      22.99      25.27      18.24       0.00       0.00       0.00
 1995  91 22:35:22          0.00       0.00       0.01       0.00       0.00       0.01      23.20      25.28      18.01       0.00       0.00       0.00
 1995  91 23:05:29          0.00       0.00       0.00       0.00       0.00       0.00      23.39      25.26      18.00       0.00       0.00       0.00
 1995  91 23:35:35          0.00       0.00       0.00       0.00       0.00       0.01      23.31      25.72      18.23       0.00       0.00       0.00
 1995  91 23:50:39          0.00       0.00       0.00       0.00       0.00       0.01      23.62      26.21      18.20       0.00       0.00       0.00
 1995  92  0:29:47          0.00       0.00       0.00       0.00       0.00       0.01      23.20      25.55      17.99       0.00       0.00       0.00
 1995  92  0:59:54          0.00       0.00       0.00       0.00       0.00       0.01      23.21      25.64      18.24       0.00       0.00       0.00
