 STICS SELECTED RATES
         Input Level 1 Filename: SMSDISK3:[WIND.L1DATA]WI_L1_SMS_19941222_V01.DAT;2
         FIFO mode is ON     TGS mode is ON       Telemetry mode is Science mode     
 YEAR DOY HR:MIN:SEC          H        He2        He1        BR0        BR1        BR2      FSR12      FSR34      FSR56         O1         O6         07 
 1994 356  0:29:57          0.00       0.00       0.03       0.04       0.00       0.00      20.61      24.10      14.67       0.00       0.00       0.00
 1994 356  1:01:56          0.00       0.00       0.02       0.04       0.00       0.00      20.12      24.32      15.00       0.00       0.00       0.00
 1994 356  1:33:55          0.00       0.00       0.01       0.02       0.00       0.00      20.31      23.78      14.71       0.00       0.00       0.00
 1994 356  2:05:55          0.00       0.00       0.01       0.01       0.00       0.00      20.64      23.82      14.86       0.00       0.00       0.00
 1994 356  2:37:54          0.00       0.00       0.02       0.02       0.00       0.00      20.37      23.63      14.76       0.00       0.00       0.00
 1994 356  3:09:53          0.00       0.00       0.01       0.01       0.00       0.00      20.10      23.71      14.73       0.00       0.00       0.00
 1994 356  3:41:52          0.00       0.00       0.01       0.02       0.00       0.00      20.34      23.94      14.70       0.00       0.00       0.00
 1994 356  4:13:51          0.00       0.00       0.02       0.03       0.00       0.00      20.42      23.70      15.06       0.00       0.00       0.00
 1994 356  4:45:51          0.00       0.00       0.01       0.01       0.00       0.00      20.03      23.47      14.83       0.00       0.00       0.00
 1994 356  5:17:50          0.00       0.00       0.00       0.01       0.00       0.00      20.45      23.73      14.76       0.00       0.00       0.00
 1994 356  5:49:49          0.00       0.00       0.01       0.02       0.00       0.00      20.75      23.82      15.08       0.00       0.00       0.00
 1994 356  6:21:48          0.00       0.00       0.01       0.02       0.00       0.00      20.48      23.75      15.19       0.00       0.00       0.00
 1994 356  6:53:47          0.00       0.00       0.01       0.01       0.00       0.00      20.69      23.89      14.92       0.00       0.00       0.00
 1994 356  7:25:46          0.00       0.00       0.01       0.02       0.00       0.00      20.38      23.80      14.84       0.00       0.00       0.00
 1994 356  7:57:46          0.00       0.00       0.01       0.02       0.00       0.00      20.69      23.99      14.78       0.00       0.00       0.00
 1994 356  8:29:45          0.00       0.00       0.01       0.02       0.00       0.00      20.60      23.73      14.70       0.00       0.00       0.00
 1994 356  9:01:44          0.00       0.00       0.01       0.03       0.00       0.00      20.77      23.83      14.75       0.00       0.00       0.00
 1994 356  9:33:43          0.09       0.00       0.01       0.11       0.00       0.00      22.03      24.04      15.10       0.00       0.00       0.00
