 STICS SELECTED RATES
         Input Level 1 Filename: SMSDISK3:[WIND.L1DATA]WI_L1_SMS_19950201_V01.DAT;1
         FIFO mode is OFF    TGS mode is OFF      Telemetry mode is Science mode     
 YEAR DOY HR:MIN:SEC          H        He2        He1        BR0        BR1        BR2      FSR12      FSR34      FSR56         O1    Fe14&16     Fe9&10 
 1995  32  0:27:33          0.00       0.66       0.04       0.01       0.00       1.00      22.68      54.78      17.45       0.00       0.00       0.00
 1995  32  0:57:03          0.00       0.76       0.05       0.01       0.00       1.13      22.43      55.61      17.64       0.00       0.00       0.00
 1995  32  1:26:32          0.03       0.81       0.04       0.01       0.01       1.18      22.43      57.54      17.68       0.00       0.00       0.00
 1995  32  1:56:01          0.02       0.80       0.05       0.01       0.01       1.26      23.25      57.38      17.45       0.00       0.00       0.00
 1995  32  2:25:31          0.00       0.80       0.05       0.01       0.01       1.23      22.81      57.51      17.68       0.00       0.00       0.00
 1995  32  2:55:00          0.05       1.01       0.04       0.01       0.01       1.47      22.61      63.26      17.97       0.00       0.00       0.01
 1995  32  3:24:29          0.02       1.01       0.06       0.01       0.01       1.52      22.83      63.82      17.99       0.00       0.00       0.00
 1995  32  3:53:59          0.07       0.98       0.06       0.01       0.01       1.51      23.51      63.67      17.97       0.00       0.00       0.01
 1995  32  4:23:28          0.15       1.01       0.05       0.01       0.00       1.62      23.53      63.83      17.96       0.00       0.00       0.01
 1995  32  4:52:57          0.09       0.97       0.05       0.01       0.00       1.55      23.79      63.16      17.94       0.00       0.00       0.00
 1995  32  5:22:26          0.14       0.91       0.05       0.02       0.02       1.46      23.41      59.37      18.99       0.00       0.00       0.01
 1995  32  5:51:56          0.04       0.83       0.05       0.00       0.01       1.29      22.63      59.34      18.34       0.00       0.00       0.00
 1995  32  6:21:25          0.00       0.85       0.05       0.01       0.01       1.26      22.99      58.00      17.58       0.00       0.00       0.00
 1995  32  6:50:54          0.02       0.80       0.05       0.00       0.00       1.22      23.01      57.66      17.60       0.00       0.00       0.00
 1995  32  7:20:24          0.00       0.92       0.05       0.01       0.00       1.35      22.41      62.84      17.71       0.00       0.00       0.00
 1995  32  7:49:53          0.07       1.00       0.07       0.01       0.01       1.53      22.50      62.35      18.51       0.00       0.00       0.00
 1995  32  8:19:22          0.01       0.83       0.06       0.00       0.01       1.26      22.89      59.27      18.01       0.00       0.00       0.00
 1995  32  8:48:51          0.00       0.75       0.05       0.01       0.00       1.12      22.71      53.87      17.71       0.00       0.00       0.01
 1995  32  9:18:21          0.00       0.73       0.04       0.01       0.00       1.17      22.52      55.45      17.67       0.00       0.00       0.00
 1995  32  9:47:50          0.00       0.66       0.05       0.01       0.01       0.97      22.56      50.42      17.90       0.00       0.00       0.00
 1995  32 10:17:19          0.00       0.60       0.04       0.01       0.00       0.92      22.19      50.53      17.68       0.00       0.00       0.00
 1995  32 10:46:48          0.00       0.50       0.05       0.01       0.01       0.83      22.78      45.45      17.85       0.00       0.00       0.00
 1995  32 11:16:18          0.00       0.40       0.05       0.00       0.00       0.68      22.79      43.14      17.55       0.00       0.00       0.00
 1995  32 11:45:47          0.01       0.33       0.04       0.00       0.00       0.64      22.37      41.99      17.66       0.00       0.00       0.00
 1995  32 12:15:16          0.00       0.43       0.05       0.00       0.00       0.85      22.82      46.59      17.85       0.00       0.00       0.00
 1995  32 12:44:46          0.00       0.52       0.05       0.00       0.00       0.92      22.78      48.26      17.85       0.00       0.00       0.00
 1995  32 13:14:15          0.02       0.49       0.04       0.00       0.00       0.81      22.82      46.72      17.96       0.00       0.00       0.00
 1995  32 13:43:44          0.01       0.48       0.04       0.00       0.01       0.87      22.73      48.92      17.68       0.00       0.00       0.00
 1995  32 14:13:13          0.00       0.51       0.07       0.00       0.01       0.89      22.42      49.24      17.59       0.00       0.00       0.00
 1995  32 14:42:43          0.00       0.47       0.03       0.00       0.00       0.79      22.65      46.52      17.94       0.00       0.00       0.00
 1995  32 15:12:12          0.02       0.47       0.04       0.01       0.00       0.82      22.74      45.28      17.73       0.00       0.00       0.00
 1995  32 15:41:41          0.05       0.40       0.05       0.00       0.01       0.81      22.87      47.27      17.58       0.00       0.00       0.00
 1995  32 16:11:11          0.00       1.03       0.09       0.01       0.02       1.77      22.89      74.04      17.74       0.00       0.00       0.01
 1995  32 16:40:40          0.01       1.32       0.11       0.02       0.01       2.33      22.57      85.09      17.86       0.00       0.00       0.01
 1995  32 17:10:10          0.02       1.13       0.11       0.01       0.01       1.98      22.59      77.33      17.87       0.00       0.00       0.01
 1995  32 17:39:38          0.14       1.13       0.08       0.02       0.03       2.07      24.12      76.78      17.87       0.00       0.00       0.01
 1995  32 18:09:08          0.06       0.84       0.09       0.02       0.01       1.64      22.61      65.71      18.68       0.00       0.00       0.00
 1995  32 18:38:37          0.01       0.83       0.11       0.01       0.01       1.52      22.84      64.15      17.49       0.00       0.00       0.00
 1995  32 19:08:07          0.01       0.79       0.08       0.01       0.02       1.44      22.77      64.21      17.66       0.00       0.00       0.00
 1995  32 19:37:36          0.01       1.18       0.07       0.01       0.01       1.91      22.72      76.52      17.57       0.00       0.00       0.01
 1995  32 20:07:05          0.02       1.03       0.08       0.03       0.01       1.75      22.52      70.29      17.82       0.00       0.00       0.01
 1995  32 20:36:34          0.02       0.84       0.07       0.01       0.02       1.44      22.73      63.93      17.89       0.00       0.00       0.00
 1995  32 21:06:04          0.04       0.89       0.06       0.02       0.01       1.51      22.86      64.01      17.65       0.00       0.00       0.00
 1995  32 21:35:33          0.01       0.86       0.05       0.01       0.00       1.38      22.48      62.67      17.84       0.00       0.00       0.01
