 STICS SELECTED RATES
         Input Level 1 Filename: SMSDISK3:[WIND.L1DATA]WI_L1_SMS_19950101_V01.DAT;2
         FIFO mode is OFF    TGS mode is ON       Telemetry mode is Science mode     
 YEAR DOY HR:MIN:SEC          H        He2        He1        BR0        BR1        BR2      FSR12      FSR34      FSR56         O1         O6         07 
 1995   1  0:29:56          0.00       0.00       0.00       0.00       0.00       0.00      20.69      22.83      15.43       0.00       0.00       0.00
 1995   1  1:01:56          0.00       0.00       0.00       0.00       0.00       0.00      20.81      22.91      15.41       0.00       0.00       0.00
 1995   1  1:33:55          0.00       0.00       0.00       0.00       0.00       0.00      20.40      23.18      15.31       0.00       0.00       0.00
 1995   1  2:05:54          0.00       0.00       0.00       0.00       0.00       0.00      20.77      23.44      15.56       0.00       0.00       0.00
 1995   1  2:37:53          0.00       0.00       0.00       0.00       0.00       0.00      21.26      23.35      15.29       0.00       0.00       0.00
 1995   1  3:09:52          0.00       0.00       0.00       0.00       0.00       0.00      20.68      23.29      15.22       0.00       0.00       0.00
 1995   1  3:41:51          0.15       0.01       0.00       0.00       0.00       0.16      22.32      25.06      16.16       0.00       0.00       0.00
 1995   1  4:10:39          0.16       0.00       0.00       0.00       0.00       0.17      22.84      24.94      16.82       0.00       0.00       0.00
 1995   1  4:45:50          0.56       0.02       0.01       0.00       0.00       0.60      26.12      27.19      19.78       0.00       0.00       0.00
 1995   1  5:17:49          0.88       0.01       0.00       0.00       0.00       0.93      26.74      33.20      19.57       0.00       0.00       0.00
 1995   1  5:49:48          0.40       0.02       0.00       0.00       0.00       0.43      24.08      27.64      16.73       0.00       0.00       0.00
 1995   1  6:21:47          0.05       0.00       0.00       0.00       0.00       0.06      21.47      23.45      15.30       0.00       0.00       0.00
 1995   1  6:53:46          0.01       0.00       0.00       0.00       0.00       0.01      21.16      23.24      15.46       0.00       0.00       0.00
 1995   1  7:25:45          0.05       0.00       0.00       0.00       0.00       0.05      20.98      23.52      15.62       0.00       0.00       0.00
 1995   1  7:57:44          0.07       0.00       0.00       0.00       0.00       0.08      21.31      23.70      16.16       0.00       0.00       0.00
 1995   1  8:29:44          0.10       0.00       0.01       0.00       0.00       0.11      21.65      23.34      16.09       0.00       0.00       0.00
 1995   1  9:01:43          0.12       0.00       0.01       0.00       0.00       0.13      21.54      24.00      16.14       0.00       0.00       0.00
 1995   1  9:33:42          0.06       0.00       0.00       0.00       0.00       0.06      21.33      23.70      16.65       0.00       0.00       0.00
 1995   1 10:05:41          0.05       0.00       0.01       0.00       0.00       0.06      21.03      23.68      16.40       0.00       0.00       0.00
 1995   1 10:37:40          0.04       0.00       0.00       0.00       0.00       0.04      21.09      23.93      15.73       0.00       0.00       0.00
 1995   1 11:09:39          0.07       0.00       0.01       0.00       0.00       0.09      21.61      23.86      16.11       0.00       0.00       0.00
 1995   1 11:41:38          0.11       0.00       0.01       0.00       0.00       0.11      21.76      23.84      15.79       0.00       0.00       0.00
 1995   1 12:13:38          0.05       0.00       0.01       0.00       0.00       0.06      21.55      23.72      15.67       0.00       0.00       0.00
 1995   1 12:45:37          0.08       0.00       0.00       0.00       0.00       0.08      21.40      23.97      15.80       0.00       0.00       0.00
 1995   1 13:17:36          0.31       0.01       0.01       0.00       0.00       0.34      23.34      25.80      17.81       0.00       0.00       0.00
 1995   1 13:49:35          0.06       0.00       0.01       0.00       0.00       0.08      22.06      23.63      15.53       0.00       0.00       0.00
 1995   1 14:21:34          0.07       0.00       0.00       0.00       0.00       0.08      21.52      23.61      15.72       0.00       0.00       0.00
 1995   1 14:53:33          0.16       0.00       0.01       0.00       0.01       0.17      22.54      24.89      16.20       0.00       0.00       0.00
 1995   1 15:25:33          0.12       0.00       0.01       0.00       0.00       0.13      21.58      23.92      16.63       0.00       0.00       0.00
 1995   1 15:57:32          0.12       0.00       0.00       0.00       0.00       0.13      21.93      24.32      16.24       0.00       0.00       0.00
 1995   1 16:29:31          0.11       0.00       0.01       0.00       0.00       0.12      21.77      24.12      16.55       0.00       0.00       0.00
 1995   1 17:01:30          0.09       0.00       0.01       0.00       0.00       0.12      21.60      24.42      17.06       0.00       0.00       0.00
 1995   1 17:33:29          0.13       0.01       0.01       0.00       0.00       0.15      21.84      24.34      16.72       0.00       0.00       0.00
 1995   1 18:05:28          0.08       0.00       0.01       0.00       0.00       0.09      21.76      24.18      16.01       0.00       0.00       0.00
 1995   1 18:37:27          0.09       0.01       0.01       0.00       0.00       0.12      21.70      24.49      16.16       0.00       0.00       0.00
 1995   1 19:09:27          0.12       0.01       0.01       0.00       0.00       0.15      22.34      24.55      16.56       0.00       0.00       0.00
 1995   1 19:41:26          0.49       0.03       0.04       0.00       0.00       0.59      24.78      28.49      18.76       0.00       0.00       0.00
 1995   1 20:13:25          0.47       0.05       0.04       0.00       0.00       0.58      24.70      28.08      19.79       0.00       0.00       0.00
 1995   1 20:45:24          0.16       0.02       0.01       0.00       0.00       0.20      22.26      25.78      17.46       0.00       0.00       0.00
 1995   1 21:17:23          0.19       0.01       0.02       0.00       0.00       0.22      22.23      25.25      16.43       0.00       0.00       0.00
 1995   1 21:49:22          0.10       0.01       0.01       0.00       0.00       0.13      21.40      24.55      16.04       0.00       0.00       0.00
 1995   1 22:21:21          0.08       0.00       0.00       0.00       0.00       0.09      21.69      24.41      16.07       0.00       0.00       0.00
 1995   1 22:53:21          0.15       0.01       0.00       0.00       0.00       0.17      21.79      24.83      15.62       0.00       0.00       0.00
 1995   1 23:25:20          0.14       0.01       0.01       0.00       0.00       0.16      21.93      24.33      15.72       0.00       0.00       0.00
 1995   1 23:50:55          0.17       0.00       0.00       0.00       0.00       0.18      21.74      25.62      15.98       0.00       0.00       0.00
 1995   2  0:29:18          0.08       0.01       0.01       0.00       0.00       0.09      21.44      24.07      15.78       0.00       0.00       0.00
 1995   2  1:01:17          0.14       0.01       0.01       0.00       0.00       0.16      21.20      25.00      16.59       0.00       0.00       0.00
 1995   2  1:33:16          0.11       0.01       0.01       0.00       0.00       0.14      21.07      24.92      17.20       0.00       0.00       0.00
 1995   2  2:05:15          0.27       0.01       0.01       0.00       0.00       0.29      22.85      25.66      17.09       0.00       0.00       0.00
 1995   2  2:37:15          0.13       0.00       0.01       0.00       0.00       0.14      21.69      24.02      16.67       0.00       0.00       0.00
 1995   2  3:09:14          0.14       0.01       0.00       0.00       0.00       0.15      21.18      24.61      16.79       0.00       0.00       0.00
 1995   2  3:41:13          0.09       0.01       0.00       0.00       0.00       0.10      21.40      23.96      16.30       0.00       0.00       0.00
 1995   2  4:13:12          0.05       0.01       0.00       0.00       0.00       0.06      21.30      23.83      15.52       0.00       0.00       0.00
 1995   2  4:45:11          0.25       0.01       0.01       0.00       0.00       0.28      22.49      25.58      16.92       0.00       0.00       0.00
 1995   2  5:17:10          0.36       0.01       0.03       0.00       0.00       0.43      23.47      27.00      17.58       0.00       0.00       0.00
 1995   2  5:49:10          0.35       0.02       0.03       0.00       0.00       0.41      23.25      27.40      17.43       0.00       0.00       0.00
 1995   2  6:21:09          0.35       0.02       0.03       0.00       0.00       0.41      23.97      27.06      17.84       0.00       0.00       0.00
 1995   2  6:53:08          0.38       0.02       0.02       0.00       0.00       0.44      23.97      26.47      18.33       0.00       0.00       0.00
 1995   2  7:25:07          0.57       0.02       0.01       0.00       0.00       0.62      25.57      28.81      17.60       0.00       0.00       0.00
 1995   2  7:57:06          0.22       0.01       0.01       0.00       0.00       0.26      22.36      25.72      16.91       0.00       0.00       0.00
 1995   2  8:29:05          0.07       0.01       0.01       0.00       0.00       0.10      21.51      24.55      15.86       0.00       0.00       0.00
 1995   2  9:01:04          0.07       0.02       0.01       0.00       0.00       0.10      21.02      25.59      15.92       0.00       0.00       0.00
 1995   2  9:33:04          0.04       0.04       0.01       0.00       0.00       0.13      21.11      25.11      15.74       0.00       0.00       0.00
 1995   2 10:05:03          0.06       0.04       0.02       0.00       0.00       0.15      21.12      26.44      15.83       0.00       0.00       0.00
 1995   2 10:37:02          0.06       0.02       0.02       0.00       0.01       0.13      21.01      25.68      15.91       0.00       0.00       0.00
 1995   2 11:09:01          0.02       0.04       0.03       0.00       0.00       0.14      21.24      26.60      15.56       0.00       0.00       0.00
 1995   2 11:41:00          0.03       0.09       0.02       0.00       0.01       0.20      21.14      27.86      15.74       0.00       0.00       0.00
 1995   2 12:12:59          0.01       0.09       0.03       0.01       0.01       0.19      21.20      28.33      15.34       0.00       0.00       0.00
 1995   2 12:44:59          0.47       0.19       0.04       0.02       0.01       0.82      24.04      32.68      19.70       0.00       0.00       0.00
 1995   2 13:16:58          0.34       0.14       0.03       0.01       0.01       0.63      22.77      32.21      16.93       0.00       0.00       0.00
 1995   2 13:48:57          0.02       0.11       0.03       0.01       0.01       0.26      21.00      29.59      15.50       0.00       0.00       0.00
 1995   2 14:20:56          0.06       0.10       0.03       0.02       0.00       0.28      21.09      29.09      15.44       0.00       0.00       0.00
 1995   2 14:52:55          0.02       0.10       0.02       0.00       0.01       0.24      21.10      28.42      15.44       0.00       0.00       0.00
 1995   2 15:24:54          0.27       0.16       0.04       0.00       0.00       0.58      23.05      32.23      16.17       0.00       0.00       0.00
 1995   2 15:56:53          0.24       0.15       0.04       0.01       0.00       0.50      22.34      29.66      16.48       0.00       0.00       0.00
 1995   2 16:28:53          0.03       0.10       0.03       0.00       0.00       0.20      20.93      27.44      15.64       0.00       0.00       0.00
 1995   2 17:00:52          0.03       0.08       0.03       0.00       0.01       0.19      21.22      26.92      15.52       0.00       0.00       0.00
 1995   2 17:32:51          0.03       0.04       0.03       0.00       0.00       0.14      20.65      25.95      15.83       0.00       0.00       0.00
 1995   2 18:04:50          0.04       0.05       0.03       0.00       0.00       0.14      20.69      26.24      15.38       0.00       0.00       0.00
 1995   2 18:36:49          0.03       0.06       0.03       0.00       0.01       0.17      20.97      26.53      15.40       0.00       0.00       0.00
 1995   2 19:08:48          0.03       0.05       0.04       0.00       0.01       0.18      21.14      26.73      15.78       0.00       0.00       0.00
