 STICS SELECTED RATES
         Input Level 1 Filename: SMSDISK3:[WIND.L1DATA]WI_L1_SMS_19950301_V01.DAT;1
         FIFO mode is OFF    TGS mode is OFF      Telemetry mode is Science mode     
 YEAR DOY HR:MIN:SEC          H        He2        He1        BR0        BR1        BR2      FSR12      FSR34      FSR56         O1    Fe14&16     Fe9&10 
 1995  60  0:28:20          0.01       0.18       0.04       0.00       0.00       0.43      23.00      35.11      18.33       0.00       0.00       0.00
 1995  60  0:57:49          0.16       0.22       0.03       0.00       0.00       0.59      24.28      37.34      19.22       0.00       0.00       0.00
 1995  60  1:27:18          0.07       0.16       0.05       0.01       0.01       0.45      23.04      34.85      19.17       0.00       0.00       0.00
 1995  60  1:56:48          0.05       0.22       0.03       0.00       0.01       0.50      23.16      36.46      18.88       0.00       0.00       0.00
 1995  60  2:26:17          0.01       0.74       0.08       0.01       0.00       1.13      23.14      56.85      17.64       0.00       0.00       0.01
 1995  60  2:55:46          0.01       1.31       0.06       0.01       0.00       1.87      22.86      76.56      17.96       0.00       0.00       0.01
 1995  60  3:25:15          0.01       1.51       0.05       0.02       0.01       2.10      23.05      80.94      18.04       0.00       0.00       0.01
 1995  60  3:54:44          0.00       1.37       0.06       0.02       0.01       1.94      23.04      76.09      17.66       0.00       0.00       0.01
 1995  60  4:24:14          0.00       1.42       0.07       0.02       0.01       1.99      22.83      76.14      17.92       0.00       0.00       0.01
 1995  60  4:53:43          0.92       1.04       0.07       0.02       0.01       2.52      25.44      70.13      24.52       0.00       0.00       0.00
 1995  60  5:23:12          1.02       1.20       0.08       0.02       0.01       2.81      25.72      76.26      27.33       0.00       0.00       0.01
 1995  60  5:52:41          0.07       2.72       0.09       0.02       0.01       3.63      23.19     121.29      18.64       0.00       0.00       0.01
 1995  60  6:22:10          0.01       3.21       0.09       0.03       0.02       4.24      23.06     142.96      17.95       0.00       0.00       0.01
 1995  60  6:51:39          0.01       2.47       0.09       0.02       0.03       3.42      22.67     119.44      17.70       0.00       0.00       0.01
 1995  60  7:21:09          0.01       3.29       0.11       0.03       0.02       4.32      23.04     148.63      17.81       0.00       0.00       0.00
 1995  60  7:50:38          0.01       6.75       0.21       0.04       0.03       8.49      23.33     263.26      17.82       0.00       0.00       0.01
 1995  60  8:20:07          0.02       5.92       0.16       0.04       0.03       7.53      23.30     239.67      18.03       0.00       0.00       0.01
 1995  60  8:49:36          0.01       4.66       0.19       0.03       0.02       6.10      22.81     196.92      17.92       0.00       0.00       0.02
 1995  60  9:19:05          0.01       4.71       0.17       0.04       0.02       6.13      22.96     199.76      18.02       0.00       0.01       0.01
 1995  60  9:48:35          0.07       4.93       0.13       0.03       0.02       6.28      23.17     200.58      18.78       0.00       0.00       0.01
 1995  60 10:18:04          0.03       3.24       0.09       0.04       0.01       4.22      22.39     144.40      18.08       0.00       0.00       0.01
 1995  60 10:47:33          0.01       2.83       0.10       0.02       0.01       3.74      22.89     131.96      18.13       0.00       0.00       0.01
 1995  60 11:17:02          0.01       2.77       0.11       0.01       0.02       3.67      23.03     124.07      17.93       0.00       0.00       0.00
 1995  60 11:46:31          0.00       2.42       0.09       0.02       0.01       3.22      23.16     111.66      18.09       0.00       0.00       0.01
 1995  60 12:16:00          0.01       2.86       0.09       0.01       0.01       3.74      22.59     126.49      17.98       0.00       0.00       0.01
