 1  STICS TIME, PHA and DPU M & M/Q TABLE LISTING
 2       Input Level 1 Filename: SMSDISK3:[WIND.L1DATA]WI_L1_SMS_19941222_V01.DAT;2
 3              Output Filename: STICS_PHA_19941222_
 4
 5  Clock selected: Wall            DATA FILTERING CHOICES:   Voltage step selection =   0 to 31      TELESCOPE FILTERING CHOICES:   Start anode =  -1
 6  Trigger mode is Tn                                        Event type selection   =   M/Q & M                                     Stop MCP    =  -1
 7  FIFO mode is ON                                           Range selection        =     2 1 0                                     SSD ID      =  -1
 8  TGS  mode is ON                                           Range checking is OFF                                                  Telescope checking is OFF
 9  Telemetry mode is Science mode     
 10
 11    SR BR  Year  Day    Time    VS     E/Q    StopID   StartID/Range  Energy(Ed)  Sector  SSD-ID    ToF(Td)  START   RANGE      M/Q     MASS   NM   NQ  NRG
     2607  H  1994  356  16:13:58  16    39.38      3           17            10         6       3       130       5       2       0.95     1.1    9    2    2
     2607  H  1994  356  16:15:37  18    49.62      2           11            10         3       2       119       3       2       0.92     0.9    7    1    2
     2645  H  1994  356  18:15:31  16    39.38      2           11             6         4       2       133       3       2       1.02     0.9    7    5    2
     2645  H  1994  356  18:16:19  17    44.21      2           11            16         2       2       157       3       2       1.86     2.6   19   24    2
     2645  H  1994  356  18:17:10  18    49.62      1            8             9         5       1       123       2       2       1.02     0.9    7    5    2
     2648  H  1994  356  18:26:43  16    39.38      3           17             8         6       3       131       5       2       0.98     1.0    8    3    2
     2649  H  1994  356  18:29:10  15    35.08      1            8             5         5       1       140       2       2       1.05     0.9    7    6    2
     2649  H  1994  356  18:29:58  18    49.62      3           20             8        11       3       121       6       2       0.97     0.8    6    3    2
     2649  H  1994  356  18:30:52  11    22.09      2           14             9         7       2       212       4       2       1.98     4.6   25   26    2
     2650  H  1994  356  18:31:28  14    31.25      1            3            46         6       1       204       1       0       2.59    18.5   40   35    2
     2650  H  1994  356  18:31:31  16    39.38      2           14             6         3       2       131       4       2       0.98     0.9    7    3    2
     2650  H  1994  356  18:31:34  18    49.62      1            8            15         6       1       121       2       2       0.97     1.2   10    3    2
     2650  H  1994  356  18:32:16  19    55.71      1            8            13         5       1       115       2       2       0.93     0.9    7    2    2
     2650  H  1994  356  18:33:10  18    49.62      2           11             6        15       2       122       3       2       1.00     0.7    5    4    2
     2650  H  1994  356  18:33:48  21    70.20      2           11            17         6       2       110       3       2       1.02     1.0    8    5    2
     2650  H  1994  356  18:33:48  21    70.20      2           11            16         6       2       107       3       2       0.93     0.9    7    2    2
     2650  H  1994  356  18:33:51  19    55.71      2           14            11         6       2       116       4       2       0.96     0.9    7    2    2
     2650  H  1994  356  18:33:55  17    44.21      2           14            18         2       2       165       4       2       2.13     3.4   22   29    2
     2650  H  1994  356  18:33:55  17    44.21      3           20             7         2       3       127       6       2       1.00     0.9    6    4    2
     2651  H  1994  356  18:34:30   8    15.61      1            6             8         3       1       280       2       0       2.68    12.2   36   36    2
     2651  H  1994  356  18:34:39  14    31.25      3           17            12         2       3       188       5       2       2.10     3.8   23   28    2
     2651  H  1994  356  18:34:43  16    39.38      3           20             9         4       3       135       6       2       1.07     1.1   10    6    2
     2651  H  1994  356  18:35:27  19    55.71      1            5            11         6       1       118       1       2       1.01     0.9    7    4    2
     2651  H  1994  356  18:35:27  19    55.71      2           11            13         6       2       118       3       2       1.01     1.0    8    4    2
     2651  H  1994  356  18:35:31  17    44.21      2           14             8         5       2       127       4       2       1.00     0.9    7    4    2
     2651  H  1994  356  18:36:19  16    39.38      2           14             9         6       2       132       4       2       1.00     1.1    9    4    2
     2651  H  1994  356  18:36:19  16    39.38      3           17            10        15       3       134       5       2       1.04     1.2   10    5    2
     2651  H  1994  356  18:37:10  15    35.08      2           14             7         6       2       140       4       2       1.05     1.1    9    6    2
     2652  H  1994  356  18:37:55  16    39.38      2           14             7         2       2       133       4       2       1.02     1.0    8    5    2
